utterance_id,speaker_id,speaker_role_raw,utterance,Comment,,Comments,session_id,annotation1,annotator_name1,annotation2,annotator_name2,Diff_annotations
4989,MOT,mother,voilà !,%act MOT essuie la main de CHI ,,%act MOT essuie la main de CHI  ,Anae/2428.cha,1,clara,,,
4990,CHI,target_child,[=! gémit] .,%act CHI tend la peluche à MOT ,,%act CHI tend la peluche à MOT  ,Anae/2428.cha,NA,clara,,,
4991,BRO,Brother,ah je veux pas voir ça !,,, ,Anae/2428.cha,?,clara,,,
4992,BRO,Brother,mais il le faut .,,, ,Anae/2428.cha,?,clara,,,
4993,MOT,mother,.,%act MOT embrasse la peluche ,,%act MOT embrasse la peluche  ,Anae/2428.cha,NA,clara,,,
4994,CHI,target_child,.,%act CHI embrasse la peluche ,,%act CHI embrasse la peluche  ,Anae/2428.cha,NA,clara,,,
4995,MOT,mother,allez fais un p(e)tit câlin .,,, ,Anae/2428.cha,1,clara,,,
4996,MOT,mother,oh elle est fatiguée cette petite fille !,%act MOT serre CHI dans ses bras,,%act MOT serre CHI dans ses bras ,Anae/2428.cha,1,clara,,,
4997,CHI,target_child,< ‹aïe [/]› aïe .,,, ,Anae/2428.cha,MOT,clara,,,
4998,MOT,mother,on va aller voir le docteur après ?,,, ,Anae/2428.cha,1,clara,,,
4999,CHI,target_child,non .,,, ,Anae/2428.cha,MOT,clara,,,
5000,MOT,mother,qu'est-ce qu'il va regarder le docteur ?,,, ,Anae/2428.cha,1,clara,,,
5001,MOT,mother,mets pas ton doigt dans ton nez .,,, ,Anae/2428.cha,1,clara,,,
5002,CHI,target_child,[=! gémit] .,,, ,Anae/2428.cha,NA,clara,,,
5003,MOT,mother,< il va regarder ton oreille ?,,, ,Anae/2428.cha,1,clara,,,
5004,MOT,mother,à quelle oreille tu as mal ?,,, ,Anae/2428.cha,1,clara,,,
5005,CHI,target_child,[=! gémit] .,%xpnt reach les gâteaux avec le bras tendu ,,%xpnt reach les gâteaux avec le bras tendu  ,Anae/2428.cha,NA,clara,,,
5006,MOT,mother,qu'est-ce tu veux ?,,, ,Anae/2428.cha,1,clara,,,
5007,MOT,mother,les gâteaux ?,,, ,Anae/2428.cha,1,clara,,,
5008,MOT,mother,.,%act MOT donne des gâteaux à CHI ,,%act MOT donne des gâteaux à CHI  ,Anae/2428.cha,NA,clara,,,
5009,CHI,target_child,[=! soupire] ‹gâteau [=! chuchote]› .,,, ,Anae/2428.cha,MOT,clara,,,
