NAME,ROME,UTTERANCE,DIRECTED,COMMENT,,
CHI,Benjamin Target_Child,0 .,,,,
NIC,Nicola  Sister,toysiepoysies@c.,,,,
CHI,Benjamin Target_Child,I'm going to get wood .,,,,
CHI,Benjamin Target_Child,and chop (5.) .,,,,
Location: Living room,,,,,,
Activities: Free play alone,,,,,,
CHI,Benjamin Target_Child,its birthday time (3.) .,,,,
CHI,Benjamin Target_Child,no (5.) .,,,,
CHI,Benjamin Target_Child,Dougal (4.) .,,,,
CHI,Benjamin Target_Child,I do it (18.) .,,,,
CHI,Benjamin Target_Child,co(ke) coke (4.) .,,,,
CHI,Benjamin Target_Child,money (9.) .,,,,
CHI,Benjamin Target_Child,daddy gives me lots_of money (4.) .,,,,
CHI,Benjamin Target_Child,xxx (3.) .,,,,
CHI,Benjamin Target_Child,diggers (3.) .,,,,
CHI,Benjamin Target_Child,car in the garage (3.) .,,,,
CHI,Benjamin Target_Child,xxx (3.) .,,,,
CHI,Benjamin Target_Child,where's (1.) the paint gone ?,,,,
CHI,Benjamin Target_Child,where's paint (11.) ?,,,,
Location: Garden,,,,,,
Activities: Free play with another child,,,,,,
Situation: They are coming in from playing in the garden,,,,,,
NIC,Nicola  Sister,0 [=! sings] .,,,,
CHI,Benjamin Target_Child,I don't know <where my car> [/] where my car is (9.) .,,,,
CHI,Benjamin Target_Child,I'm bringing my car .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
CHI,Benjamin Target_Child,I'm bringing your car in .,,,,
NIC,Nicola  Sister,but I don't want it in .,,,,
CHI,Benjamin Target_Child,wheel mine in (4.) .,,,,
NIC,Nicola  Sister,get in [= into the pedal car] (4.) .,,,,
CHI,Benjamin Target_Child,that's your +/.,,,,
NIC,Nicola  Sister,xxx bring it in (3.) .,,,,
CHI,Benjamin Target_Child,0 [=! raspberry] (6.) .,,,,
NIC,Nicola  Sister,0 [=! shouts] (4.) .,,,,
CHI,Benjamin Target_Child,0 [=! raspberry] .,,,,
NIC,Nicola  Sister,you cant see my new xxx .,,,,
CHI,Benjamin Target_Child,its in there .,,,,
CHI,Benjamin Target_Child,its there (3.) .,,,,
NIC,Nicola  Sister,where's Dougal ?,,,,
CHI,Benjamin Target_Child,there .,,,,
NIC,Nicola  Sister,is he lost in there ?,,,,
CHI,Benjamin Target_Child,he's there (25.) .,,,,
Location: Garden,,,,,,
Activities: Talk as the main activity,,,,,,
NIC,Nicola  Sister,0 .,,,,
MOT,Mother,get down .,,,,
MOT,Mother,xxx .,,,,
MOT,Mother,xxx .,,,,
CHI,Benjamin Target_Child,xxx (1.) .,,,,
CHI,Benjamin Target_Child,look (5.) .,,,,
CHI,Benjamin Target_Child,xxx (4.) .,,,,
CHI,Benjamin Target_Child,look .,,,,
NIC,Nicola  Sister,there's an airplane [>] .,,,,
CHI,Benjamin Target_Child,look [<] .,,,,
NIC,Nicola  Sister,there .,,,,
NIC,Nicola  Sister,in the sky .,,,,
CHI,Benjamin Target_Child,look Suzanne (4.) .,,%com: suzanne must be a friend,,
NIC,Nicola  Sister,look (9.) .,,,,
CHI,Benjamin Target_Child,cuckoo .,,,,
CHI,Benjamin Target_Child,look look (2.) .,,,,
CHI,Benjamin Target_Child,look (2.) .,,,,
CHI,Benjamin Target_Child,look .,,,,
CHI,Benjamin Target_Child,look Suzanne (3.) .,,,,
CHI,Benjamin Target_Child,look Suzanne (3.) .,,,,
CHI,Benjamin Target_Child,look Suzanne .,,,,
NIC,Nicola  Sister,did you see the airplane ?,,,,
SUZ,Suzanne Family_Friend,hm: ?,,,,
NIC,Nicola  Sister,did you see the airplane ?,,,,
CHI,Benjamin Target_Child,look (2.) .,,,,
CHI,Benjamin Target_Child,look (2.) .,,,,
NIC,Nicola  Sister,did you (2.) ?,,,,
SUZ,Suzanne Family_Friend,what's that (4.) ?,,,,
NIC,Nicola  Sister,don't say if you did .,,,,
CHI,Benjamin Target_Child,look .,,,,
SUZ,Suzanne Family_Friend,I'm going in the house .,,,,
NIC,Nicola  Sister,goodbye (2.) .,,,,
CHI,Benjamin Target_Child,look .,,,,
CHI,Benjamin Target_Child,look .,,,,
CHI,Benjamin Target_Child,look Suzanne .,,,,
NIC,Nicola  Sister,look Suzanne (12.) .,,,,
NIC,Nicola  Sister,0 [=! shouts] .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
Location: Garden and Kitchen,,,,,,
Activities: Free Play alone,,,,,,
CHI,Benjamin Target_Child,xxx .,,,,
NIC,Nicola  Sister,there's a wasp in your house (16.) .,,,,
NIC,Nicola  Sister,0 [=! sings hums] [>] (8.) .,,,,
NIC,Nicola  Sister,0 [=! sings Happy Birthday] .,,,,
CHI,Benjamin Target_Child,there's stairs .,,,,
CHI,Benjamin Target_Child,xxx (5.) .,,,,
NIC,Nicola  Sister,stones (3.) ?,,,,
NIC,Nicola  Sister,that's all (4.) .,,,,
Location: Living room,,,,,,
Activities: Snack,,,,,,
Situation: Mother and Visitor chat,,,,,,
NIC,Nicola  Sister,my Grandma (i)s coming tomorrow (3.) .,,%com: trying to interrupt,,
NIC,Nicola  Sister,isn't she ?,,,,
NIC,Nicola  Sister,my Grandma (i)s coming (5.) .,,%com: mother and Visitor continue chatting,,
NIC,Nicola  Sister,my Grandma (i)s going to come .,,,,
MOT,Mother,we've got a_lot_of these +/.,,,,
NIC,Nicola  Sister,when is my Grandma coming ?,,,,
MOT,Mother,in two weeks time love .,,,,
NIC,Nicola  Sister,my Grandma (i)s going to come .,,,,
MOT,Mother,Benjamin .,,,,
CHI,Benjamin Target_Child,0 .,,,,
VIS,Visitor,your mum or his mum (4.) ?,,,,
