NAME,ROME,UTTERANCE,DIRECTED,COMMENT,,
MOT,Mother,it's alright .,,,,
MOT,Mother,you're not allowed to go outside anyway .,,,,
CHI,Benjamin Target_Child,0 [=! yells] .,,,,
MOT,Mother,why have we got a car on the landing (3.) ?,,,,
CHI,Benjamin Target_Child,I can't get this on [= shoe again] .,,,,
MOT,Mother,xxx .,,,,
CHI,Benjamin Target_Child,0 [=! cries] .,,,,
MOT,Mother,Nicola .,,,,
CHI,Benjamin Target_Child,can't get this one on .,,,,
MOT,Mother,xxx .,,,,
MOT,Mother,you wouldn't let me help you .,,,,
MOT,Mother,wouldn't you ?,,,,
MOT,Mother,not on there you big fool .,,%com: exchange and activity between Mother and Nicola outside . Instruction from Mother to Nicola,,
NIC,Nicola  Sister,xxx .,,,,
MOT,Mother,Nicola I want you .,,,,
CHI,Benjamin Target_Child,mummie laughed at me .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
MOT,Mother,where's the other drawer for your .,,,,
NIC,Nicola  Sister,xxx .,,,,
MOT,Mother,don't blame Benjamin .,,,,
NIC,Nicola  Sister,well .,,,,
MOT,Mother,Benjamin didn't do anything .,,,,
Location: Living room,,,,,,
Activities: Free play alone,,,,,,
Situation: B playing with toy telephone,,,,,,
Situation: M and N sitting on settee; Benjamin at other end of settee playing with telephone,,,,,,
CHI,Benjamin Target_Child,ow .,,,,
MOT,Mother,xxx touch that love .,,,,
CHI,Benjamin Target_Child,I xxx .,,,,
NIC,Nicola  Sister,it's poisonous .,,,,
MOT,Mother,no you're not to touch it .,,,,
MOT,Mother,I'm trying to mend it .,,,,
CHI,Benjamin Target_Child,and xxx .,,,,
MOT,Mother,no .,,,,
MOT,Mother,I'm trying to mend it .,,,,
NIC,Nicola  Sister,xxx .,,,,
MOT,Mother,Nicola don't lean on me like that darling .,,,,
MOT,Mother,it hurts (10.) .,,,,
NIC,Nicola  Sister,0 [=! giggles and moan] .,,,,
CHI,Benjamin Target_Child,0 .,,%com: mother and Nicola talk and Nicola sings,,
Location: Garden,,,,,,
Activities: Imaginary role play with another child,,,,,,
CHI,Benjamin Target_Child,xxx we (7.) .,,%com: sound quality poor throughout; noise of car wheels moving and Nicola singing in distance,,
CHI,Benjamin Target_Child,xxx (3.) .,,%com: they are going to play being shoppers,,
NIC,Nicola  Sister,xxx (1.) .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
CHI,Benjamin Target_Child,xxx (5.) ?,,,,
CHI,Benjamin Target_Child,xxx (10.) .,,%com: sound of Benjamin's toy car wheels as he rolls down drive,,
CHI,Benjamin Target_Child,0 [=! makes noise of engine slowing and stopping] .,,,,
MOT,Mother,four peaches .,,%com: making shopping list,,
CHI,Benjamin Target_Child,peaches .,,,,
MOT,Mother,four peaches .,,,,
MOT,Mother,a pound of apples .,,,,
MOT,Mother,and a pound of bananas please .,,,,
MOT,Mother,from just on (2.) .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
CHI,Benjamin Target_Child,xxx again .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
CHI,Benjamin Target_Child,xxx the finzy@c [= tiny] ones .,,,,
CHI,Benjamin Target_Child,have the finzy@c [= tiny] one .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
NIC,Nicola  Sister,xxx .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
NIC,Nicola  Sister,xxx .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
Location: Living room,,,,,,
Activities: Snack,,,,,,
Situation: Eating frozen treats,,,,,,
MOT,Mother,that's what she .,,,,
MOT,Mother,like this (5.) .,,,,
NIC,Nicola  Sister,0 [=! giggle] .,,,,
MOT,Mother,now that's dirty Nicola .,,,,
MOT,Mother,if you don't eat that lolly I shall throw it in the dustbin .,,,,
MOT,Mother,pick it up and eat it then (53.) .,,%com: exchanges between Mother and Nicola,,
MOT,Mother,what's it [= his treat] taste like ?,,,,
CHI,Benjamin Target_Child,like fruit .,,,,
MOT,Mother,like fruit ?,,,,
MOT,Mother,what sort of fruit (3.) ?,,,,
CHI,Benjamin Target_Child,like xxx [>] .,,,,
NIC,Nicola  Sister,0 [=! giggles and yells] [<] .,,,,
MOT,Mother,xxx oranges (3.) ?,,,,
MOT,Mother,and .,,,,
MOT,Mother,is it ?,,,,
NIC,Nicola  Sister,no .,,,,
Location: Living room,,,,,,
Activities: Unknown,,,,,,
Situation: Sound quality poor,,,,,,
NIC,Nicola  Sister,xxx didn't you ?,,,,
CHI,Benjamin Target_Child,mhm (4.) .,,,,
CHI,Benjamin Target_Child,xxx you do that (1.) .,,,,
CHI,Benjamin Target_Child,xxx do that .,,,,
CHI,Benjamin Target_Child,Nicola always does that to me (22.) . .,,%com: mother and Nicola's voices,,
CHI,Benjamin Target_Child,xxx (1.) .,,,,
NIC,Nicola  Sister,xxx (5.) ?,,,,
NIC,Nicola  Sister,xxx (21.) .,,,,
NIC,Nicola  Sister,&-uh .,,,,
NIC,Nicola  Sister,xxx didn't you ?,,,,
CHI,Benjamin Target_Child,mhm .,,,,
NIC,Nicola  Sister,xxx .,,,,
CHI,Benjamin Target_Child,I got one .,,,,
NIC,Nicola  Sister,well then .,,,,
NIC,Nicola  Sister,let's tip these out .,,,,
Location: Living room,,,,,,
Activities: Watching TV,,,,,,
Situation: Play+School on TV,,,,,,
MOT,Mother,half past three .,,%com: said simultaneously with TV . Benjamin concentrating on program; telling time on Play+School clock,,
CHI,Benjamin Target_Child,yeh .,,,,
Location: Living room,,,,,,
Activities: Snack,,,,,,
Situation: Eating bananas and talking,,,,,,
Situation: Jackanory on TV in background,,,,,,
CHI,Benjamin Target_Child,I'll .,,,,
NIC,Nicola  Sister,don't xxx that xxx (56.) .,,%com: mother and Nicola talk at a distance possibly in next room,,
CHI,Benjamin Target_Child,xxx (4.) .,,,,
NIC,Nicola  Sister,what's the time ?,,,,
CHI,Benjamin Target_Child,four o'clock .,,,,
CHI,Benjamin Target_Child,for rainbow .,,,,
NIC,Nicola  Sister,oh .,,,,
NIC,Nicola  Sister,xxx (18.) .,,,,
Location: Upstairs,,,,,,
Activities: Unknown,,,,,,
Situation: Nicola and Rachel playing and talking together,,,,,,
CHI,Benjamin Target_Child,Rachel .,,,,
CHI,Benjamin Target_Child,Nicola .,,,,
CHI,Benjamin Target_Child,Rachel .,,,,
CHI,Benjamin Target_Child,Nicola .,,,,
CHI,Benjamin Target_Child,xxx (28.) .,,,,
CHI,Benjamin Target_Child,you're on your own Rachel (3.) . .,,%com: beginning of argument between Nicola and Rachel,,
NIC,Nicola  Sister,<no you're not> [>] .,,,,
RAC,Rachel Playmate,<no you're not> [<] .,,,,
Location: Dining room,,,,,,
Activities: Helping,,,,,,
Situation: Mother ,,,,,,
Situation: Father trying to mend train on floor; Benjamin watching,,,,,,
CHI,Benjamin Target_Child,can I ?,,,,
CHI,Benjamin Target_Child,oh tut .,,,,
CHI,Benjamin Target_Child,can I play with my train now Daddy ?,,,,
FAT,Father,did you know it was ready ?,,,,
FAT,Father,see if xxx .,,,,
NIC,Nicola  Sister,don't know .,,,,
NIC,Nicola  Sister,where's the man .,,,,
FAT,Father,&=laughs .,,,,
CHI,Benjamin Target_Child,my train +...,,,,
CHI,Benjamin Target_Child,can my train go now (1.) ?,,,,
FAT,Father,huh ?,,,,
NIC,Nicola  Sister,xxx .,,,,
FAT,Father,yes .,,,,
CHI,Benjamin Target_Child,<can we> [//] my train wants +/.,,%com: interruptions from the others,,
CHI,Benjamin Target_Child,my train want to go too (4.) .,,,,
CHI,Benjamin Target_Child,is the train wants to go .,,,,
CHI,Benjamin Target_Child,xxx (3.) .,,,,
MOT,Mother,what have you got there ?,,,,
NIC,Nicola  Sister,he's been looking for his train .,,,,
MOT,Mother,d(o) you know why ?,,,,
MOT,Mother,because he's waited so long .,,,,
MOT,Mother,wasn't it ?,,,,
MOT,Mother,for his train to be working .,,,,
MOT,Mother,wasn't it Benjamin ?,,,,
MOT,Mother,because you had to wait so long (4.) . .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
CHI,Benjamin Target_Child,xxx (3.) .,,,,
MOT,Mother,oh .,,,,
MOT,Mother,beautiful .,,,,
MOT,Mother,petrol one (1.) .,,,,
MOT,Mother,isn't that lovely (1.) ?,,,,
MOT,Mother,isn't he lucky (10.) ?,,,,
MOT,Mother,0 [=! giggles] .,,,,
MOT,Mother,petrol tank .,,,,
End,,,,,,
"Participants: CHI Benjamin Target_Child, MOT Mother,  FAT Father",,,,,,
Comment: Mother has recently broken both arms and they are still very painful. The injuries were caused by her falling down the stairs. The older child is consequently being cared for by Grandmother in her home.,,,,,,
Location: Living room,,,,,,
Activities: Free play alone,,,,,,
Situation: Benjamin playing with toy cars,,,,,,
CHI,Benjamin Target_Child,you see it (1.) ?,,,,
CHI,Benjamin Target_Child,not today .,,%com: answering his own question,,
MOT,Mother,no .,,,,
CHI,Benjamin Target_Child,0 [=! car noises] .,,,,
CHI,Benjamin Target_Child,they [/] they're in reverse .,,,,
CHI,Benjamin Target_Child,in reverse .,,,,
CHI,Benjamin Target_Child,in reverse .,,,,
CHI,Benjamin Target_Child,they did .,,,,
CHI,Benjamin Target_Child,they're in reverse .,,,,
MOT,Mother,mhm .,,,,
CHI,Benjamin Target_Child,they're in reverse (4.) .,,,,
CHI,Benjamin Target_Child,tissue .,,%com: mimicking his sneeze,,
Location: Back garden,,,,,,
Activities: Snack,,,,,,
Situation: Eating biscuit and drinking on back step,,,,,,
CHI,Benjamin Target_Child,d(o) you want (th)em in ?,,,,
MOT,Mother,xxx out .,,%com: instruction,,
CHI,Benjamin Target_Child,xxx .,,%com: benjamin's mouth full,,
CHI,Benjamin Target_Child,weren't you (24.) ?,,,,
CHI,Benjamin Target_Child,I'm licking [= the cream in his biscuit] .,,,,
CHI,Benjamin Target_Child,Mummie I like the cream .,,,,
CHI,Benjamin Target_Child,<I like the> [>] cream .,,,,
MOT,Mother,<d(o) you> [<] ?,,,,
MOT,Mother,xxx take xxx .,,,,
Location: Back garden,,,,,,
Activities: Talk as the main activity,,,,,,
Situation: Talking about treading on slugs and ants,,,,,,
CHI,Benjamin Target_Child,I'm a little boy .,,,,
MOT,Mother,xxx (4.) .,,,,
MOT,Mother,xxx are you doing ?,,,,
CHI,Benjamin Target_Child,&-uh .,,,,
MOT,Mother,xxx .,,,,
CHI,Benjamin Target_Child,don't know (3.) .,,,,
CHI,Benjamin Target_Child,tread on the slugs .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
MOT,Mother,xxx .,,,,
CHI,Benjamin Target_Child,I tread on ants .,,,,
CHI,Benjamin Target_Child,I do .,,,,
MOT,Mother,mhm .,,,,
CHI,Benjamin Target_Child,do &-um like (.) treading (.) on .,,,,
CHI,Benjamin Target_Child,I tread on ants .,,,,
CHI,Benjamin Target_Child,do they like me treading <on the> [//] on them ?,,,,
MOT,Mother,xxx think they love it (2.) .,,,,
MOT,Mother,xxx don't like you treading on them .,,,,
CHI,Benjamin Target_Child,xxx car .,,,,
MOT,Mother,yes xxx (16.) .,,,,
CHI,Benjamin Target_Child,Mummie are you in xxx ?,,,,
CHI,Benjamin Target_Child,can I go to toilet outside (2.) ?,,,,
CHI,Benjamin Target_Child,can I go to toilet first (2.) ?,,,,
MOT,Mother,yes .,,,,
CHI,Benjamin Target_Child,yes (1.) ?,,,,
CHI,Benjamin Target_Child,yes (4.) .,,,,
CHI,Benjamin Target_Child,Mummie you mustn't go to toilet on your own .,,%com: benjamin is fearful of her having another accident,,
MOT,Mother,why ?,,,,
CHI,Benjamin Target_Child,I wanted to go on there .,,,,
Location: Bedroom,,,,,,
Activities: Helping,,,,,,
Situation: Helping Mother make bed,,,,,,
MOT,Mother,drop it again .,,,,
CHI,Benjamin Target_Child,yeh .,,,,
CHI,Benjamin Target_Child,I'll drop it .,,,,
MOT,Mother,xxx .,,,,
CHI,Benjamin Target_Child,dropped it again .,,,,
MOT,Mother,xxx .,,,,
CHI,Benjamin Target_Child,can't get it (8.) .,,,,
CHI,Benjamin Target_Child,I can't get it (4.) .,,,,
CHI,Benjamin Target_Child,I can't .,,,,
MOT,Mother,leave it then (2.) .,,,,
CHI,Benjamin Target_Child,I'm going to get it .,,,,
MOT,Mother,xxx .,,,,
MOT,Mother,whoops sorry .,,,,
MOT,Mother,xxx .,,,,
CHI,Benjamin Target_Child,hot .,,,,
CHI,Benjamin Target_Child,Mummie that's not +...,,,,
MOT,Mother,one .,,%com: counting,,
MOT,Mother,ouch .,,,,
MOT,Mother,two .,,,,
CHI,Benjamin Target_Child,three [>] .,,%com: counting,,
MOT,Mother,three [<] .,,,,
CHI,Benjamin Target_Child,four .,,,,
CHI,Benjamin Target_Child,xxx (4.) .,,,,
CHI,Benjamin Target_Child,could you read me a story ?,,,,
CHI,Benjamin Target_Child,about it .,,,,
MOT,Mother,look I'm not getting on with this bed very fast am I ?,,,,
CHI,Benjamin Target_Child,no .,,,,
MOT,Mother,you keep on nattering to me .,,,,
MOT,Mother,and keep on making me read you stories .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
MOT,Mother,you don't like it .,,,,
MOT,Mother,I'm +/.,,%com: m starts a rhyme they both know,,
CHI,Benjamin Target_Child,Toodles the cat xxx .,,,,
MOT,Mother,I'll give you +/.,,%com: recite the rhyme together with Mother prompting,,
CHI,Benjamin Target_Child,++ a ride .,,,,
MOT,Mother,put up your +/.,,,,
CHI,Benjamin Target_Child,++ hands .,,,,
CHI,Benjamin Target_Child,and jump inside .,,,,
MOT,Mother,just watch the +/.,,,,
CHI,Benjamin Target_Child,++ fare .,,,,
MOT,Mother,meter .,,,,
MOT,Mother,you'll see the +/.,,,,
CHI,Benjamin Target_Child,++ fare .,,,,
MOT,Mother,distance xxx .,,,,
Location: Sitting room,,,,,,
Activities: Listening to record,,,,,,
CHI,Benjamin Target_Child,0 .,,,,
Location: Living room,,,,,,
Activities: Listening to records/Talk as the main activity,,,,,,
CHI,Benjamin Target_Child,is [/] is it going xxx ?,,,,
CHI,Benjamin Target_Child,Mummie what did you do ?,,%com: asking Mother about her bandages,,
MOT,Mother,xxx bandage it up darling when it's xxx it's very very tight today (1.) .,,,,
MOT,Mother,that's all (2.) .,,,,
CHI,Benjamin Target_Child,why did you do that ?,,,,
MOT,Mother,to help it be stronger (4.) .,,,,
CHI,Benjamin Target_Child,can you get it off ?,,,,
CHI,Benjamin Target_Child,you try and get it off (7.) .,,,,
Location: Living room,,,,,,
Activities: Game play with adult participation,,,,,,
Situation: Benjamin is playing Snakes and Ladders with Mother,,,,,,
MOT,Mother,you've got five as_well .,,,,
MOT,Mother,count with me (1.) .,,,,
MOT,Mother,one (1.) .,,,,
MOT,Mother,two .,,,,
CHI,Benjamin Target_Child,one .,,,,
MOT,Mother,three .,,,,
CHI,Benjamin Target_Child,four [>] .,,,,
MOT,Mother,four [<] .,,,,
MOT,Mother,five [>] .,,,,
CHI,Benjamin Target_Child,five [<] .,,,,
MOT,Mother,good boy (2.) .,,,,
MOT,Mother,six Mummy got .,,,,
MOT,Mother,can you count up to six (1.) ?,,,,
MOT,Mother,let's see shall we ?,,,,
CHI,Benjamin Target_Child,one .,,,,
MOT,Mother,one .,,,,
CHI,Benjamin Target_Child,two (1.) three (1.) four (1.) five (1.) five (.) six .,,,,
MOT,Mother,good boy .,,,,
MOT,Mother,your turn (4.) .,,,,
MOT,Mother,oh (.) five .,,%com: benjamin's move,,
MOT,Mother,count (2.) .,,,,
MOT,Mother,one (3.) .,,,,
MOT,Mother,two (3.) .,,,,
MOT,Mother,three (1.) four (1.) five .,,,,
MOT,Mother,oh look at that .,,%com: in the game ,,
CHI,Benjamin Target_Child,I xxx it .,,,,
MOT,Mother,that's the largest ladder on the board .,,,,
MOT,Mother,you cheat .,,,,
CHI,Benjamin Target_Child,I cheat .,,,,
MOT,Mother,you're a little cheat .,,,,
MOT,Mother,six I got .,,,,
CHI,Benjamin Target_Child,<I went up that big ladder> [>] .,,,,
MOT,Mother,<one two three four five six> [<] .,,,,
MOT,Mother,you did .,,,,
MOT,Mother,come on .,,,,
MOT,Mother,let's see you go down a long snake (2.) .,,,,
MOT,Mother,so_that I don't lose (1.) .,,,,
MOT,Mother,oh come on .,,,,
CHI,Benjamin Target_Child,0 .,,,,
MOT,Mother,surely you can do that .,,,,
MOT,Mother,it's six .,,,,
MOT,Mother,count with me .,,,,
MOT,Mother,one two (1.) three (1.) four [>] .,,,,
CHI,Benjamin Target_Child,<I'm go> [<] .,,,,
MOT,Mother,five six .,,,,
MOT,Mother,there you are .,,,,
MOT,Mother,you haven't got a snake yet .,,,,
MOT,Mother,I've missed that big ladder .,,,,
MOT,Mother,I've only got five .,,,,
MOT,Mother,one two three four five .,,,,
MOT,Mother,oh I've got a little ladder though .,,,,
MOT,Mother,come on .,,,,
MOT,Mother,your turn again (2.) .,,,,
MOT,Mother,oh two .,,,,
Location: Living room,,,,,,
Activities: Free play alone,,,,,,
Situation: Benjamin is playing with toy car,,,,,,
MOT,Mother,xxx .,,,,
MOT,Mother,xxx ?,,,,
CHI,Benjamin Target_Child,I don't want one (30.) .,,,,
CHI,Benjamin Target_Child,it's only a xxx made up dragon .,,,,
CHI,Benjamin Target_Child,and the xxx .,,,,
CHI,Benjamin Target_Child,and this car (17.) .,,,,
MOT,Mother,xxx (7.) .,,,,
CHI,Benjamin Target_Child,0 [=! car noises ,,,,
CHI,Benjamin Target_Child,he [= toy car] stops .,,,,
CHI,Benjamin Target_Child,and he [= toy car] goes (5.) .,,,,
CHI,Benjamin Target_Child,Mummie (3.) .,,,,
Location: Living room,,,,,,
Activities: Talk as the main activity,,,,,,
CHI,Benjamin Target_Child,I be lucky .,,%com: has blue sun glasses on . asks why the things he can see through them are pink . he's got the color name wrong,,
CHI,Benjamin Target_Child,what will they have ?,,,,
CHI,Benjamin Target_Child,xxx (.) is that pink ?,,,,
CHI,Benjamin Target_Child,is it ?,,,,
CHI,Benjamin Target_Child,why they pink ?,,,,
CHI,Benjamin Target_Child,with my glasses on .,,,,
MOT,Mother,&=laughs .,,,,
MOT,Mother,blue .,,,,
MOT,Mother,you nitwit (3.) .,,,,
MOT,Mother,you are a xxx .,,%com: benjamin is pretending the sun glasses are racing drivers goggles,,
CHI,Benjamin Target_Child,hello .,,,,
CHI,Benjamin Target_Child,is there a letter in here [= envelope] ?,,,,
CHI,Benjamin Target_Child,is there ?,,,,
CHI,Benjamin Target_Child,what is it ?,,,,
CHI,Benjamin Target_Child,can I bend it (2.) ?,,,,
CHI,Benjamin Target_Child,Mummie can I bend it ?,,,,
CHI,Benjamin Target_Child,shall I bend this ?,,,,
CHI,Benjamin Target_Child,Mum can I bend this ?,,,,
CHI,Benjamin Target_Child,isn't there anything <in here> [//] in there (4.) ?,,%com: takes Mother by surprise by coming up close to her suddenly,,
MOT,Mother,xxx .,,,,
MOT,Mother,right on you .,,,,
MOT,Mother,what's this called ?,,%com: mock threat to punish him,,
CHI,Benjamin Target_Child,fives .,,,,
MOT,Mother,where do they land ?,,,,
MOT,Mother,on you +/.,,,,
CHI,Benjamin Target_Child,++ titties .,,,,
MOT,Mother,no .,,,,
MOT,Mother,on you (4.) +/.,,,,
MOT,Mother,++ nose .,,,,
MOT,Mother,0 [=! noise ,,,,
MOT,Mother,no you didn't hurt .,,,,
MOT,Mother,you didn't hurt .,,,,
MOT,Mother,you big bully .,,,,
MOT,Mother,get off [= her lap] .,,,,
CHI,Benjamin Target_Child,no .,,,,
MOT,Mother,you're (1.) revolting .,,,,
Location: Living room,,,,,,
Activities: Talk as the main activity,,,,,,
CHI,Benjamin Target_Child,a mike ?,,,,
CHI,Benjamin Target_Child,a mike ?,,,,
CHI,Benjamin Target_Child,in his own car ?,,,,
MOT,Mother,hm: ?,,,,
CHI,Benjamin Target_Child,Mummie (6.) .,,,,
CHI,Benjamin Target_Child,mom can you come upstairs with me ? ?,,,,
MOT,Mother,no .,,,,
MOT,Mother,go on with you .,,,,
CHI,Benjamin Target_Child,no .,,,,
CHI,Benjamin Target_Child,I don't want to go upstairs on my own .,,,,
MOT,Mother,look you're going to be three on Friday .,,,,
MOT,Mother,and that's big (2.) .,,,,
MOT,Mother,that's big [>] .,,,,
CHI,Benjamin Target_Child,xxx [<] .,,,,
CHI,Benjamin Target_Child,three (i)s not big .,,,,
MOT,Mother,three (i)s big .,,,,
CHI,Benjamin Target_Child,it isn't .,,,,
MOT,Mother,it is (3.) .,,,,
MOT,Mother,three is big .,,,,
MOT,Mother,three xxx .,,,,
MOT,Mother,it's big enough to have a racing (5.) .,,%com: that is what he is promised for his birthday,,
MOT,Mother,and surprises .,,,,
MOT,Mother,isn't it (2.) ?,,,,
CHI,Benjamin Target_Child,I want you to come .,,,,
MOT,Mother,up Benjamin .,,,,
CHI,Benjamin Target_Child,I want you to come .,,,,
MOT,Mother,I can't .,,,,
MOT,Mother,I've just been up there and Grandma says I mustn't go upstairs . .,,%com: has broken both arms through falling down stairs,,
MOT,Mother,I don't like to keep on going up and down stairs it frightens me (4.) .,,,,
CHI,Benjamin Target_Child,what's up there (3.) ?,,,,
CHI,Benjamin Target_Child,what's up there ?,,,,
MOT,Mother,what's what ?,,,,
CHI,Benjamin Target_Child,that frinzy@c bob@c.,,,,
MOT,Mother,no it's not anything up the stairs that frightens me .,,,,
MOT,Mother,I don't like coming downstairs any more often than I have_to (12.) . .,,,,
CHI,Benjamin Target_Child,I can't go up there on my own .,,,,
Location: Living room,,,,,,
Activities: Reading,,,,,,
Situation: Benjamin looking at book,,,,,,
MOT,Mother,xxx sort you out xxx (11.) .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
CHI,Benjamin Target_Child,Mummie .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
CHI,Benjamin Target_Child,0 [=! noise] (8.) .,,,,
MOT,Mother,0 [=! hums ,,,,
Location: Living room,,,,,,
Activities: Free play alone,,,,,,
CHI,Benjamin Target_Child,0 [=! car and siren noises intermittently] .,,,,
CHI,Benjamin Target_Child,the slide .,,,,
MOT,Mother,good boy .,,,,
CHI,Benjamin Target_Child,that's a slide (5.) .,,,,
CHI,Benjamin Target_Child,slide mat (14.) .,,,,
Location: Living room,,,,,,
Activities: Free play alone and with adult participation,,,,,,
Situation: Playing with cars,,,,,,
CHI,Benjamin Target_Child,not .,,,,
MOT,Mother,don't bite the wheels .,,,,
CHI,Benjamin Target_Child,I'm not .,,,,
MOT,Mother,don't bite the whole car .,,,,
MOT,Mother,xxx say I'll knock you back can you ?,,,,
CHI,Benjamin Target_Child,I'll knock you down like a xxx (2.) . .,,,,
CHI,Benjamin Target_Child,I'll kill you .,,,,
CHI,Benjamin Target_Child,and you'll die .,,,,
CHI,Benjamin Target_Child,you will (2.) .,,,,
CHI,Benjamin Target_Child,will .,,%com: reinforcing his threat,,
CHI,Benjamin Target_Child,Mummie .,,%com: to draw her back to his threat,,
CHI,Benjamin Target_Child,now he can't get through there .,,,,
CHI,Benjamin Target_Child,now he's knocked down the (7.) +/. +/.,,,,
CHI,Benjamin Target_Child,he's the xxx (11.) .,,,,
Location: Living room,,,,,,
Activities: Watching TV,,,,,,
Situation: Play+School commentary: preparing to look through the windows at the work of a vet,,,,,,
CHI,Benjamin Target_Child,orange .,,%com: reference to color on TV ?,,
Location: Living room/Kitchen,,,,,,
Activities: Snack,,,,,,
Situation: Benjamin sitting in front of TV eating a carrot. Jackanory' is on TV,,,,,,
MOT,Mother,0 .,,,,
CHI,Benjamin Target_Child,want another one [= another carrot] .,,,,
CHI,Benjamin Target_Child,I do (4.) .,,,,
MOT,Mother,you stay here and listen to the story .,,,,
MOT,Mother,I'll go and get you one (6.) .,,,,
CHI,Benjamin Target_Child,<I &wa> [//] I thought she was +...,,,,
CHI,Benjamin Target_Child,I'm putting my cars in the sitting room (1.) .,,,,
CHI,Benjamin Target_Child,there (3.) .,,,,
CHI,Benjamin Target_Child,here you are little car+cars (3.) .,,%com: gathers up his cars,,
CHI,Benjamin Target_Child,Mummie .,,,,
MOT,Mother,hm: (2.) ?,,,,
CHI,Benjamin Target_Child,Mummie .,,,,
CHI,Benjamin Target_Child,Mummie .,,,,
CHI,Benjamin Target_Child,d(o) you want this [= cupboard under sink] closed ?,,,,
MOT,Mother,mhm (9.) .,,,,
CHI,Benjamin Target_Child,Mummie .,,,,
CHI,Benjamin Target_Child,I'm so hungry (4.) .,,,,
MOT,Mother,xxx just because you like it .,,%com: mother not fooled,,
CHI,Benjamin Target_Child,how ?,,,,
MOT,Mother,isn't it (1.) ?,,,,
Location: Dining room,,,,,,
Activities: Game Play alone,,,,,,
CHI,Benjamin Target_Child,does your hair ?,,%com: snakes and Ladders Mother doesn't want to play,,
MOT,Mother,xxx .,,,,
CHI,Benjamin Target_Child,<can we see in the> [//] can can can we see ?,,%com: wants to look at his hair white or fair,,
MOT,Mother,no xxx .,,,,
CHI,Benjamin Target_Child,why ?,,,,
CHI,Benjamin Target_Child,I [/] <I want see> [/] I want see in [/] in the mirror .,,,,
CHI,Benjamin Target_Child,xxx time .,,,,
CHI,Benjamin Target_Child,<I want> [//] I do want to go .,,%com: benjamin gives up his question,,
CHI,Benjamin Target_Child,play Snakes_and_Ladders ?,,,,
MOT,Mother,no I won't play it again xxx .,,,,
MOT,Mother,I'll play it again with you later on .,,,,
CHI,Benjamin Target_Child,now ?,,,,
MOT,Mother,no not now .,,,,
CHI,Benjamin Target_Child,I want to play it again (2.) .,,,,
CHI,Benjamin Target_Child,shall I shake it .,,,,
MOT,Mother,no (9.) .,,,,
CHI,Benjamin Target_Child,one (1.) .,,,,
CHI,Benjamin Target_Child,two (1.) .,,,,
CHI,Benjamin Target_Child,three (1.) .,,,,
CHI,Benjamin Target_Child,four (3.) .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
CHI,Benjamin Target_Child,four (4.) .,,,,
CHI,Benjamin Target_Child,Mummie xxx .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
MOT,Mother,xxx .,,,,
CHI,Benjamin Target_Child,shall we play ?,,,,
MOT,Mother,xxx .,,,,
CHI,Benjamin Target_Child,will you play Snakes_and_Ladders now .,,,,
MOT,Mother,no (1.) I can't .,,,,
Location: Dining room,,,,,,
Activities: Meal tea,,,,,,
FAT,Father,xxx .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
CHI,Benjamin Target_Child,Mummie do I want some of this ?,,,,
MOT,Mother,xxx darling (6.) .,,,,
CHI,Benjamin Target_Child,I want salt (3.) .,,,,
FAT,Father,don't need a lot .,,,,
FAT,Father,I should put [/] put it on your swede if I were you .,,,,
FAT,Father,not on the meat .,,,,
MOT,Mother,&=laughs .,,,,
FAT,Father,that's enough (5.) .,,,,
CHI,Benjamin Target_Child,and vinegar .,,,,
FAT,Father,and vinegar .,,,,
FAT,Father,alright then (4.) .,,,,
MOT,Mother,a_lot_of vinegar on .,,,,
CHI,Benjamin Target_Child,yeh (10.) .,,,,
CHI,Benjamin Target_Child,I've got mustard .,,%com: dismayed to see it on his plate,,
FAT,Father,you haven't ?,,,,
CHI,Benjamin Target_Child,I have .,,,,
CHI,Benjamin Target_Child,there .,,,,
FAT,Father,I see .,,,,
FAT,Father,so you have .,,,,
FAT,Father,my fault .,,,,
FAT,Father,xxx (10.) .,,,,
CHI,Benjamin Target_Child,0 [=! noise of glee] .,,%com: mother and Father talking,,
CHI,Benjamin Target_Child,0 .,,,,
MOT,Mother,you're ready for your tea are you (4.) ?,,,,
End,,,,,,
"Participants: CHI Benjamin Target_Child, MOT Mother, FAT Father, NIC Nicola Sister, LOR Lorraine playmate, ADU Adult",,,,,,
Comment: Nil,,,,,,
Location: Living room,,,,,,
Activities: Meal breakfast,,,,,,
Situation: Benjamin and Nicola finishing breakfast,,,,,,
CHI,Benjamin Target_Child,Mum .,,,,
