targetchild,speaker,addressee,session,numberoflines,numberofwords,numberofmorphemes,mlu,mlumorphemes,mattr,numberofuttsinglewords,numberofhapaxes,percquest,ratioturn
Anais,adult,ADS,Anais_242a.cha,,,,,,,,,,
Anais,adult,ADS,Anais_242b.cha,4,12,18,3,4.5,1,2,12,0,0.75
Anais,adult,ADS,Anais_2511a.cha,,,,,,,,,,
Anais,adult,ADS,Anais_2511b.cha,,,,,,,,,,
Anais,adult,ADS,Anais_2523a.cha,,,,,,,,,,
Anais,adult,ADS,Anais_2525a.cha,,,,,,,,,,
Anais,adult,ADS,Anais_2621a.cha,7,13,18,1.857,2.571,1,3,13,0,0.5
Anais,adult,ADS,Anais_28a.cha,,,,,,,,,,
Anais,adult,ADS,Anais_296b.cha,,,,,,,,,,
Theotime,adult,ADS,Theotime_2111a.cha,,,,,,,,,,
Theotime,adult,ADS,Theotime_239b.cha,,,,,,,,,,
Theotime,adult,ADS,Theotime_2324a.cha,,,,,,,,,,
Theotime,adult,ADS,Theotime_2324b.cha,,,,,,,,,,
Theotime,adult,ADS,Theotime_2422a.cha,,,,,,,,,,
Theotime,adult,ADS,Theotime_252a.cha,,,,,,,,,,
Theotime,adult,ADS,Theotime_263a.cha,,,,,,,,,,
Theotime,adult,ADS,Theotime_273a.cha,,,,,,,,,,
Theotime,adult,ADS,Theotime_2112a.cha,,,,,,,,,,
Anae,mother,CDS,Anae_215.cha,595,2552,3077,4.289,5.171,0.912077105,142,304,0.4,0.54
Anae,mother,CDS,Anae_2216.cha,583,2633,3261,4.516,5.593,0.902173084,103,338,0.392,0.536
Anae,mother,CDS,Anae_2428.cha,591,2550,3142,4.314,5.316,0.90992126,114,286,0.546,0.527
Anae,mother,CDS,Anae_2529.cha,716,3444,4228,4.81,5.905,0.930984275,142,443,0.427,0.548
Anae,mother,CDS,Anae_2626.cha,459,1913,2369,4.167,5.161,0.907514451,116,255,0.444,0.554
Anae,mother,CDS,Anae_284.cha,577,2710,3227,4.696,5.592,0.895037037,84,354,0.405,0.437
Anae,mother,CDS,Anae_2923.cha,769,3349,4155,4.355,5.403,0.909673555,138,362,0.368,0.396
Anae,mother,CDS,Anae_2123.cha,723,3611,4458,4.994,6.165,0.914662594,102,422,0.412,0.533
Anae,mother,CDS,Anae_21122.cha,442,2376,2894,5.375,6.547,0.922907861,61,301,0.398,0.596
Anae,mother,CDS,Anae_317.cha,290,1343,1694,4.631,5.841,0.924606152,55,238,0.337,0.47
Anais,mother,CDS,Anais_239a.cha,436,1175,1507,2.694,3.456,0.922575107,161,178,0.272,0.672
Anais,mother,CDS,Anais_247a.cha,394,1454,1886,3.69,4.786,0.934903047,65,232,0.307,0.557
Anais,mother,CDS,Anais_247b.cha,242,843,1067,3.483,4.409,0.911404562,44,138,0.318,0.665
Anais,mother,CDS,Anais_242a.cha,,,,,,,,,,
Anais,mother,CDS,Anais_242b.cha,,,,,,,,,,
Anais,mother,CDS,Anais_2511a.cha,642,1789,2258,2.786,3.517,0.907307476,219,275,0.264,0.615
Anais,mother,CDS,Anais_2511b.cha,621,1629,2003,2.623,3.225,0.922235948,270,193,0.193,0.592
Anais,mother,CDS,Anais_2523a.cha,647,1919,2457,2.965,3.797,0.919329492,191,298,0.248,0.637
Anais,mother,CDS,Anais_2525a.cha,510,1423,1769,2.79,3.468,0.925477707,175,211,0.27,0.695
Anais,mother,CDS,Anais_2621a.cha,430,1605,1992,3.732,4.632,0.922946708,70,237,0.397,0.79
Anais,mother,CDS,Anais_28a.cha,550,1585,1987,2.881,3.612,0.91968254,182,235,0.23,0.609
Anais,mother,CDS,Anais_296b.cha,,,,,,,,,,
Theotime,mother,CDS,Theotime_2111a.cha,412,1819,2322,4.415,5.635,0.906357103,53,320,0.266,0.483
Theotime,mother,CDS,Theotime_239b.cha,371,1209,1476,3.258,3.978,0.905337781,118,195,0.312,0.464
Theotime,mother,CDS,Theotime_2324a.cha,383,1318,1653,3.441,4.315,0.917278287,113,214,0.177,0.419
Theotime,mother,CDS,Theotime_2324b.cha,392,1378,1714,3.515,4.372,0.911988304,115,196,0.209,0.421
Theotime,mother,CDS,Theotime_2422a.cha,392,1359,1716,3.466,4.377,0.925277984,116,281,0.193,0.495
Theotime,mother,CDS,Theotime_252a.cha,323,1148,1394,3.554,4.315,0.918541301,101,212,0.25,0.384
Theotime,mother,CDS,Theotime_263a.cha,381,1686,2210,4.425,5.8,0.902863962,60,300,0.212,0.381
Theotime,mother,CDS,Theotime_273a.cha,402,1809,2324,4.5,5.781,0.920344636,90,345,0.226,0.449
Theotime,mother,CDS,Theotime_2112a.cha,,,,,,,,,,
Anae,mother,OCDS,Anae_215.cha,46,240,295,5.217,6.413,0.90826087,3,82,0.282,0.347
Anae,mother,OCDS,Anae_2216.cha,,,,,,,,,,
Anae,mother,OCDS,Anae_2428.cha,85,413,521,4.858,6.129,0.928287841,18,105,0.188,0.342
Anae,mother,OCDS,Anae_2529.cha,,,,,,,,,,
Anae,mother,OCDS,Anae_2626.cha,49,235,301,4.795,6.142,0.928444444,13,69,0.183,0.416
Anae,mother,OCDS,Anae_284.cha,95,463,567,4.873,5.968,0.920529801,28,107,0.073,0.407
Anae,mother,OCDS,Anae_2923.cha,,,,,,,,,,
Anae,mother,OCDS,Anae_2123.cha,21,94,124,4.476,5.904,0.946428571,5,47,0.238,0.45
Anae,mother,OCDS,Anae_21122.cha,11,42,57,3.818,5.181,0.984375,1,33,0.272,0
Anae,mother,OCDS,Anae_317.cha,88,460,555,5.227,6.306,0.920444444,10,118,0.363,0.537
Anais,mother,OCDS,Anais_239a.cha,1,1,1,1,1,,1,1,1,1
Anais,mother,OCDS,Anais_247a.cha,66,276,346,4.181,5.242,0.959398496,8,102,0.181,0.307
