keychild register speakers largetotalperchildreg sumperSpeakerChild average.1 average.2 session total.x largetotalperchildkey total.y nb_utt percentage percentageperSpeakerRegisterChild
Hlobohang CDS adult 4161 4561 34.53 22.34 Hlobohang-020500ab.cha 627 11221 627  53   8.4529506 37.082256483
Hlobohang CDS adult 4161 4561 34.53 22.34 Hlobohang-020100cd.cha 569 11221 569 323  56.7662566 37.082256483
Hlobohang CDS adult 4161 4561 34.53 22.34 Hlobohang-020900cd.cha 359 11221 359 109  30.3621170 37.082256483
Hlobohang CDS adult 4161 4561 34.53 22.34 Hlobohang-020900ab.cha 205 11221 205  51  24.8780488 37.082256483
Hlobohang CDS adult 4161 4561 34.53 22.34 Hlobohang-030000cd.cha 286 11221 286 146  51.0489510 37.082256483
Hlobohang CDS adult 4161 4561 34.53 22.34 Hlobohang-020400cd.cha 738 11221 738 396  53.6585366 37.082256483
Hlobohang CDS adult 4161 4561 34.53 22.34 Hlobohang-020200ab.cha 998 11221 998 610  61.1222445 37.082256483
Hlobohang CDS adult 4161 4561 34.53 22.34 Hlobohang-020600ab.cha 444 11221 444  66  14.8648649 37.082256483
Hlobohang CDS adult 4161 4561 34.53 22.34 Hlobohang-020700ab.cha 366 11221 366  92  25.1366120 37.082256483
Hlobohang CDS adult 4161 4561 34.53 22.34 Hlobohang-020800ab.cha 328 11221 328   1   0.3048780 37.082256483
Hlobohang CDS adult 4161 4561 34.53 22.34 Hlobohang-021100ab.cha 232 11221 232   5   2.1551724 37.082256483
Hlobohang CDS adult 4161 4561 34.53 22.34 Hlobohang-020700cd.cha 632 11221 632 338  53.4810127 37.082256483
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020100cd.cha 569 11221 569 148  26.0105448 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-030000ab.cha 277 11221 277  25   9.0252708 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020900e.cha  69 11221  69  55  79.7101449 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020200cd.cha 857 11221 857 449  52.3920653 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020800ab.cha 328 11221 328 289  88.1097561 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020400ab.cha 741 11221 741 492  66.3967611 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020700cd.cha 632 11221 632 196  31.0126582 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020800ef.cha 320 11221 320   3   0.9375000 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020900ab.cha 205 11221 205 152  74.1463415 39.007218608
