keychild register speakers largetotalperchildspeakerreg sumperSpeakerChild largetotalperchildregister average.1 average.2 largetotalperchild session total nb_utt percentage percentageperSpeakerRegisterChild
Anae unclassified child    5  890   82  0.35  0.32 7247 Anae/317.cha 698   4   0.5730659  0.06899407
Anae unclassified mother   67 6293   82  1.33  1.50 7247 Anae/2626.cha 708   2   0.2824859  0.92452049
Anae unclassified mother   67 6293   82  1.33  1.50 7247 Anae/21122.cha 475   2   0.4210526  0.92452049
Anae unclassified mother   67 6293   82  1.33  1.50 7247 Anae/2123.cha 809   4   0.4944376  0.92452049
Anae unclassified mother   67 6293   82  1.33  1.50 7247 Anae/215.cha 731   4   0.5471956  0.92452049
Anae unclassified mother   67 6293   82  1.33  1.50 7247 Anae/2216.cha 597   9   1.5075377  0.92452049
Anae unclassified mother   67 6293   82  1.33  1.50 7247 Anae/2529.cha 753  34   4.5152722  0.92452049
Anae unclassified mother   67 6293   82  1.33  1.50 7247 Anae/2923.cha 785  12   1.5286624  0.92452049
Anais ADS adult   17 1951  213  0.81  0.88 7022 Anais/239a.cha 447   1   0.2237136  0.24209627
Anais ADS adult   17 1951  213  0.81  0.88 7022 Anais/242b.cha 667   4   0.5997001  0.24209627
Anais ADS adult   17 1951  213  0.81  0.88 7022 Anais/2511a.cha 658   2   0.3039514  0.24209627
Anais ADS adult   17 1951  213  0.81  0.88 7022 Anais/2621a.cha 476  10   2.1008403  0.24209627
Anais ADS child  167  276  213  8.04  5.56 7022 Anais/247a.cha 538  54  10.0371747  2.37823982
Anais ADS child  167  276  213  8.04  5.56 7022 Anais/239a.cha 447   2   0.4474273  2.37823982
Anais ADS child  167  276  213  8.04  5.56 7022 Anais/28a.cha 767  62   8.0834420  2.37823982
Anais ADS child  167  276  213  8.04  5.56 7022 Anais/247b.cha 360  49  13.6111111  2.37823982
Anais ADS mother   29 4795  213  0.95  1.40 7022 Anais/247a.cha 538   2   0.3717472  0.41298775
Anais ADS mother   29 4795  213  0.95  1.40 7022 Anais/2511a.cha 658   2   0.3039514  0.41298775
Anais ADS mother   29 4795  213  0.95  1.40 7022 Anais/2525a.cha 535   1   0.1869159  0.41298775
Anais ADS mother   29 4795  213  0.95  1.40 7022 Anais/28a.cha 767   3   0.3911343  0.41298775
Anais ADS mother   29 4795  213  0.95  1.40 7022 Anais/239a.cha 447   3   0.6711409  0.41298775
Anais ADS mother   29 4795  213  0.95  1.40 7022 Anais/2621a.cha 476  18   3.7815126  0.41298775
Anais CDS adult 1924 1951 6620 60.38 53.19 7022 Anais/239a.cha 447   3   0.6711409 27.39960125
Anais CDS adult 1924 1951 6620 60.38 53.19 7022 Anais/2621a.cha 476  17   3.5714286 27.39960125
Anais CDS adult 1924 1951 6620 60.38 53.19 7022 Anais/296b.cha 505 499  98.8118812 27.39960125
Anais CDS adult 1924 1951 6620 60.38 53.19 7022 Anais/242a.cha 746 743  99.5978552 27.39960125
Anais CDS adult 1924 1951 6620 60.38 53.19 7022 Anais/242b.cha 667 662  99.2503748 27.39960125
Anais CDS child  106  276 6620  6.33  2.43 7022 Anais/247a.cha 538  19   3.5315985  1.50954144
Anais CDS child  106  276 6620  6.33  2.43 7022 Anais/247b.cha 360  28   7.7777778  1.50954144
Anais CDS child  106  276 6620  6.33  2.43 7022 Anais/28a.cha 767  59   7.6923077  1.50954144
Anais CDS mother 4590 4795 6620 89.21 13.50 7022 Anais/2511a.cha 658 653  99.2401216 65.36599259
Anais CDS mother 4590 4795 6620 89.21 13.50 7022 Anais/247a.cha 538 394  73.2342007 65.36599259
Anais CDS mother 4590 4795 6620 89.21 13.50 7022 Anais/28a.cha 767 576  75.0977836 65.36599259
Anais CDS mother 4590 4795 6620 89.21 13.50 7022 Anais/239a.cha 447 437  97.7628635 65.36599259
Anais CDS mother 4590 4795 6620 89.21 13.50 7022 Anais/2525a.cha 535 534  99.8130841 65.36599259
Anais CDS mother 4590 4795 6620 89.21 13.50 7022 Anais/2523a.cha 684 684 100.0000000 65.36599259
Anais CDS mother 4590 4795 6620 89.21 13.50 7022 Anais/2511b.cha 639 639 100.0000000 65.36599259
Anais CDS mother 4590 4795 6620 89.21 13.50 7022 Anais/2621a.cha 476 431  90.5462185 65.36599259
Anais CDS mother 4590 4795 6620 89.21 13.50 7022 Anais/247b.cha 360 242  67.2222222 65.36599259
Anais OCDS child    1  276  171  0.13 NA 7022 Anais/28a.cha 767   1   0.1303781  0.01424096
Anais OCDS mother  170 4795  171  7.92  5.38 7022 Anais/247b.cha 360  39  10.8333333  2.42096269
Anais OCDS mother  170 4795  171  7.92  5.38 7022 Anais/247a.cha 538  66  12.2676580  2.42096269
Anais OCDS mother  170 4795  171  7.92  5.38 7022 Anais/239a.cha 447   1   0.2237136  2.42096269
Anais OCDS mother  170 4795  171  7.92  5.38 7022 Anais/28a.cha 767  64   8.3441982  2.42096269
Anais unclassified adult   10 1951   18  0.58  0.54 7022 Anais/242a.cha 746   3   0.4021448  0.14240957
Anais unclassified adult   10 1951   18  0.58  0.54 7022 Anais/242b.cha 667   1   0.1499250  0.14240957
Anais unclassified adult   10 1951   18  0.58  0.54 7022 Anais/296b.cha 505   6   1.1881188  0.14240957
Anais unclassified child    2  276   18  0.20  0.10 7022 Anais/247b.cha 360   1   0.2777778  0.02848191
Anais unclassified child    2  276   18  0.20  0.10 7022 Anais/28a.cha 767   1   0.1303781  0.02848191
Anais unclassified mother    6 4795   18  0.28  0.20 7022 Anais/247b.cha 360   1   0.2777778  0.08544574
Anais unclassified mother    6 4795   18  0.28  0.20 7022 Anais/247a.cha 538   3   0.5576208  0.08544574
Anais unclassified mother    6 4795   18  0.28  0.20 7022 Anais/2511a.cha 658   1   0.1519757  0.08544574
Anais unclassified mother    6 4795   18  0.28  0.20 7022 Anais/28a.cha 767   1   0.1303781  0.08544574
Theotime ADS child  137  214  142  4.77  3.16 4062 Theotime/2324a.cha 455  20   4.3956044  3.37272280
Theotime ADS child  137  214  142  4.77  3.16 4062 Theotime/239b.cha 476  26   5.4621849  3.37272280
Theotime ADS child  137  214  142  4.77  3.16 4062 Theotime/2112a.cha 353   1   0.2832861  3.37272280
Theotime ADS child  137  214  142  4.77  3.16 4062 Theotime/2422a.cha 518  31   5.9845560  3.37272280
Theotime ADS child  137  214  142  4.77  3.16 4062 Theotime/252a.cha 476  46   9.6638655  3.37272280
Theotime ADS child  137  214  142  4.77  3.16 4062 Theotime/263a.cha 462  13   2.8138528  3.37272280
Theotime ADS mother    5 3848  142  0.55  0.24 4062 Theotime/273a.cha 416   3   0.7211538  0.12309207
Theotime ADS mother    5 3848  142  0.55  0.24 4062 Theotime/2422a.cha 518   2   0.3861004  0.12309207
Theotime CDS child   58  214 3729  1.74  1.03 4062 Theotime/252a.cha 476   9   1.8907563  1.42786805
Theotime CDS child   58  214 3729  1.74  1.03 4062 Theotime/239b.cha 476  10   2.1008403  1.42786805
Theotime CDS child   58  214 3729  1.74  1.03 4062 Theotime/2324b.cha 474   8   1.6877637  1.42786805
Theotime CDS child   58  214 3729  1.74  1.03 4062 Theotime/2422a.cha 518  19   3.6679537  1.42786805
Theotime CDS child   58  214 3729  1.74  1.03 4062 Theotime/2324a.cha 455   2   0.4395604  1.42786805
Theotime CDS child   58  214 3729  1.74  1.03 4062 Theotime/2112a.cha 353   3   0.8498584  1.42786805
Theotime CDS child   58  214 3729  1.74  1.03 4062 Theotime/263a.cha 462   7   1.5151515  1.42786805
Theotime CDS mother 3671 3848 3729 90.85  8.29 4062 Theotime/2111a.cha 432 431  99.7685185 90.37419990
Theotime CDS mother 3671 3848 3729 90.85  8.29 4062 Theotime/263a.cha 462 399  86.3636364 90.37419990
Theotime CDS mother 3671 3848 3729 90.85  8.29 4062 Theotime/2324a.cha 455 403  88.5714286 90.37419990
Theotime CDS mother 3671 3848 3729 90.85  8.29 4062 Theotime/273a.cha 416 413  99.2788462 90.37419990
Theotime CDS mother 3671 3848 3729 90.85  8.29 4062 Theotime/252a.cha 476 360  75.6302521 90.37419990
Theotime CDS mother 3671 3848 3729 90.85  8.29 4062 Theotime/2112a.cha 353 345  97.7337110 90.37419990
Theotime CDS mother 3671 3848 3729 90.85  8.29 4062 Theotime/2422a.cha 518 438  84.5559846 90.37419990
Theotime CDS mother 3671 3848 3729 90.85  8.29 4062 Theotime/2324b.cha 474 463  97.6793249 90.37419990
Theotime CDS mother 3671 3848 3729 90.85  8.29 4062 Theotime/239b.cha 476 419  88.0252101 90.37419990
Theotime OCDS mother  165 3848  165  4.99  3.51 4062 Theotime/239b.cha 476  18   3.7815126  4.06203840
Theotime OCDS mother  165 3848  165  4.99  3.51 4062 Theotime/2324a.cha 455  30   6.5934066  4.06203840
Theotime OCDS mother  165 3848  165  4.99  3.51 4062 Theotime/2324b.cha 474   2   0.4219409  4.06203840
Theotime OCDS mother  165 3848  165  4.99  3.51 4062 Theotime/252a.cha 476  45   9.4537815  4.06203840
Theotime OCDS mother  165 3848  165  4.99  3.51 4062 Theotime/2422a.cha 518  28   5.4054054  4.06203840
Theotime OCDS mother  165 3848  165  4.99  3.51 4062 Theotime/2112a.cha 353   3   0.8498584  4.06203840
Theotime OCDS mother  165 3848  165  4.99  3.51 4062 Theotime/263a.cha 462  39   8.4415584  4.06203840
Theotime unclassified child   19  214   26  2.01  1.92 4062 Theotime/263a.cha 462   3   0.6493506  0.46774988
Theotime unclassified child   19  214   26  2.01  1.92 4062 Theotime/252a.cha 476  16   3.3613445  0.46774988
Theotime unclassified mother    7 3848   26  0.31  0.18 4062 Theotime/2112a.cha 353   1   0.2832861  0.17232890
Theotime unclassified mother    7 3848   26  0.31  0.18 4062 Theotime/2324b.cha 474   1   0.2109705  0.17232890
Theotime unclassified mother    7 3848   26  0.31  0.18 4062 Theotime/2111a.cha 432   1   0.2314815  0.17232890
Theotime unclassified mother    7 3848   26  0.31  0.18 4062 Theotime/263a.cha 462   1   0.2164502  0.17232890
Theotime unclassified mother    7 3848   26  0.31  0.18 4062 Theotime/239b.cha 476   3   0.6302521  0.17232890
