keychild register sumperRegisterChild largetotalperchild session total nb_utt percentageperSessionRegisterChild percentageperRegisterChild
Neuoe OCDS 5281 10502 Neuoe-040500ab.cha 362 102 28.1767955801105 50.2856598743097
Neuoe OCDS 5281 10502 Neuoe-030900a.cha 389 299 76.8637532133676 50.2856598743097
Neuoe OCDS 5281 10502 Neuoe-040300f.cha 147 66 44.8979591836735 50.2856598743097
Neuoe OCDS 5281 10502 Neuoe-040700e.cha 120 70 58.3333333333333 50.2856598743097
Neuoe unclassified 72 10502 Neuoe-031000e.cha 570 55 9.64912280701754 0.685583698343173
Neuoe unclassified 72 10502 Neuoe-040300ab.cha 696 2 0.28735632183908 0.685583698343173
Neuoe unclassified 72 10502 Neuoe-040000ab.cha 821 1 0.121802679658952 0.685583698343173
Neuoe unclassified 72 10502 Neuoe-040100ab.cha 940 2 0.212765957446809 0.685583698343173
Neuoe unclassified 72 10502 Neuoe-030800ef.cha 279 1 0.3584229390681 0.685583698343173
Neuoe unclassified 72 10502 Neuoe-040000cd.cha 853 1 0.117233294255569 0.685583698343173
Neuoe unclassified 72 10502 Neuoe-030800ab.cha 278 1 0.359712230215827 0.685583698343173
Neuoe unclassified 72 10502 Neuoe-040500cd.cha 512 9 1.7578125 0.685583698343173
