speaker keychild session nb_uttpersession
mother Litlhare Litlhare-020600e.cha 27
child Litlhare Litlhare-020800ab.cha 460
investigator Litlhare Litlhare-020800ab.cha 127
mother Litlhare Litlhare-020800ab.cha 8
adult Litlhare Litlhare-020800cd.cha 2
child Litlhare Litlhare-020800cd.cha 403
investigator Litlhare Litlhare-020800cd.cha 223
child Litlhare Litlhare-020900ab.cha 450
investigator Litlhare Litlhare-020900ab.cha 231
mother Litlhare Litlhare-020900ab.cha 284
child Litlhare Litlhare-020900cd.cha 32
investigator Litlhare Litlhare-020900cd.cha 789
mother Litlhare Litlhare-020900cd.cha 43
adult Litlhare Litlhare-021000ab.cha 12
child Litlhare Litlhare-021000ab.cha 808
investigator Litlhare Litlhare-021000ab.cha 163
child Litlhare Litlhare-021000cd.cha 419
investigator Litlhare Litlhare-021000cd.cha 138
adult Litlhare Litlhare-030000ab.cha 6
child Litlhare Litlhare-030000ab.cha 172
investigator Litlhare Litlhare-030000ab.cha 51
mother Litlhare Litlhare-030000ab.cha 265
child Litlhare Litlhare-030000cd.cha 336
investigator Litlhare Litlhare-030000cd.cha 46
mother Litlhare Litlhare-030000cd.cha 352
adult Litlhare Litlhare-030200ab.cha 24
child Litlhare Litlhare-030200ab.cha 430
investigator Litlhare Litlhare-030200ab.cha 93
mother Litlhare Litlhare-030200ab.cha 442
adult Litlhare Litlhare-030200cd.cha 22
child Litlhare Litlhare-030200cd.cha 493
investigator Litlhare Litlhare-030200cd.cha 47
mother Litlhare Litlhare-030200cd.cha 366
adult Neuoe Neuoe-030800ab.cha 207
child Neuoe Neuoe-030800ab.cha 118
investigator Neuoe Neuoe-030800ab.cha 16
mother Neuoe Neuoe-030800ab.cha 21
adult Neuoe Neuoe-030800cd.cha 19
child Neuoe Neuoe-030800cd.cha 362
investigator Neuoe Neuoe-030800cd.cha 50
mother Neuoe Neuoe-030800cd.cha 85
adult Neuoe Neuoe-030800ef.cha 21
child Neuoe Neuoe-030800ef.cha 222
investigator Neuoe Neuoe-030800ef.cha 10
mother Neuoe Neuoe-030800ef.cha 87
child Neuoe Neuoe-030900a.cha 387
investigator Neuoe Neuoe-030900a.cha 12
mother Neuoe Neuoe-030900a.cha 52
adult Neuoe Neuoe-030900b.cha 7
child Neuoe Neuoe-030900b.cha 84
investigator Neuoe Neuoe-030900b.cha 11
mother Neuoe Neuoe-030900b.cha 62
adult Neuoe Neuoe-031000ab.cha 3
child Neuoe Neuoe-031000ab.cha 720
investigator Neuoe Neuoe-031000ab.cha 74
mother Neuoe Neuoe-031000ab.cha 400
adult Neuoe Neuoe-031000cd.cha 366
child Neuoe Neuoe-031000cd.cha 567
investigator Neuoe Neuoe-031000cd.cha 45
mother Neuoe Neuoe-031000cd.cha 184
adult Neuoe Neuoe-031000e.cha 315
child Neuoe Neuoe-031000e.cha 330
investigator Neuoe Neuoe-031000e.cha 3
mother Neuoe Neuoe-031000e.cha 5
adult Neuoe Neuoe-040000ab.cha 31
child Neuoe Neuoe-040000ab.cha 937
investigator Neuoe Neuoe-040000ab.cha 119
mother Neuoe Neuoe-040000ab.cha 98
child Neuoe Neuoe-040000cd.cha 749
investigator Neuoe Neuoe-040000cd.cha 41
mother Neuoe Neuoe-040000cd.cha 213
adult Neuoe Neuoe-040100ab.cha 10
child Neuoe Neuoe-040100ab.cha 455
investigator Neuoe Neuoe-040100ab.cha 55
mother Neuoe Neuoe-040100ab.cha 597
adult Neuoe Neuoe-040100cd.cha 2
child Neuoe Neuoe-040100cd.cha 504
investigator Neuoe Neuoe-040100cd.cha 149
mother Neuoe Neuoe-040100cd.cha 161
child Neuoe Neuoe-040100ef.cha 506
investigator Neuoe Neuoe-040100ef.cha 93
mother Neuoe Neuoe-040100ef.cha 78
adult Neuoe Neuoe-040300ab.cha 138
child Neuoe Neuoe-040300ab.cha 601
investigator Neuoe Neuoe-040300ab.cha 161
mother Neuoe Neuoe-040300ab.cha 224
adult Neuoe Neuoe-040300cd.cha 318
child Neuoe Neuoe-040300cd.cha 348
investigator Neuoe Neuoe-040300cd.cha 29
child Neuoe Neuoe-040300e.cha 66
investigator Neuoe Neuoe-040300e.cha 14
mother Neuoe Neuoe-040300e.cha 107
adult Neuoe Neuoe-040300f.cha 5
child Neuoe Neuoe-040300f.cha 107
investigator Neuoe Neuoe-040300f.cha 8
mother Neuoe Neuoe-040300f.cha 72
adult Neuoe Neuoe-040500ab.cha 18
child Neuoe Neuoe-040500ab.cha 362
investigator Neuoe Neuoe-040500ab.cha 77
mother Neuoe Neuoe-040500ab.cha 90
adult Neuoe Neuoe-040500cd.cha 57
child Neuoe Neuoe-040500cd.cha 627
investigator Neuoe Neuoe-040500cd.cha 139
mother Neuoe Neuoe-040500cd.cha 84
adult Neuoe Neuoe-040500e.cha 8
child Neuoe Neuoe-040500e.cha 138
investigator Neuoe Neuoe-040500e.cha 53
mother Neuoe Neuoe-040500e.cha 4
adult Neuoe Neuoe-040700ab.cha 14
child Neuoe Neuoe-040700ab.cha 188
investigator Neuoe Neuoe-040700ab.cha 37
mother Neuoe Neuoe-040700ab.cha 156
adult Neuoe Neuoe-040700cd.cha 11
child Neuoe Neuoe-040700cd.cha 231
investigator Neuoe Neuoe-040700cd.cha 64
mother Neuoe Neuoe-040700cd.cha 78
adult Neuoe Neuoe-040700e.cha 8
child Neuoe Neuoe-040700e.cha 98
investigator Neuoe Neuoe-040700e.cha 18
mother Neuoe Neuoe-040700e.cha 54
