keychild register sumperRegisterChild averagepersession.1 averagepersession.2 largetotalperchild session total nb_utt percentageperSessionRegisterChild percentageperRegisterChild
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-040700e.cha  163   18 11.04294479 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-030800ef.cha  310   74 23.87096774 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-031000ab.cha 1128  580 51.41843972 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-040000ab.cha 1050   61  5.80952381 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-040500cd.cha  774   82 10.59431525 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-040100cd.cha  795  116 14.59119497 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-040300ab.cha  998  143 14.32865731 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-031000e.cha  592   59  9.96621622 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-040500ab.cha  500   44  8.80000000 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-040700ab.cha  295   42 14.23728814 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-040300cd.cha  608   65 10.69078947 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-040700cd.cha  307   21  6.84039088 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-030800cd.cha  457   68 14.87964989 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-040100ef.cha  630   30  4.76190476 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-040300e.cha  182   33 18.13186813 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-030800ab.cha  313   60 19.16932907 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-040100ab.cha 1027  274 26.67964946 18.8036152
Neuoe ADS  2455 17.27 12.15 13056 Neuoe-031000cd.cha 1082  391 36.13678373 18.8036152
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-031000e.cha  592  342 57.77027027 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-030900a.cha  415   74 17.83132530 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040500ab.cha  500  234 46.80000000 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040700e.cha  163   40 24.53987730 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040700ab.cha  295   80 27.11864407 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-030800cd.cha  457   41  8.97155361 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040300f.cha  164   34 20.73170732 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040300ab.cha  998  215 21.54308617 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040000cd.cha  936  289 30.87606838 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040100ab.cha 1027  322 31.35345667 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-030800ab.cha  313   86 27.47603834 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-030800ef.cha  310   30  9.67741935 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040500e.cha  176   50 28.40909091 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040700cd.cha  307   54 17.58957655 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-031000cd.cha 1082  171 15.80406654 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040100ef.cha  630   54  8.57142857 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040000ab.cha 1050  209 19.90476190 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040500cd.cha  774  162 20.93023256 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040300e.cha  182   80 43.95604396 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040100cd.cha  795  189 23.77358491 22.9779412
Neuoe CDS  3000 25.89 12.74 13056 Neuoe-040300cd.cha  608  244 40.13157895 22.9779412
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-030800ef.cha  310   21  6.77419355  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040100ef.cha  630  132 20.95238095  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-031000cd.cha 1082   62  5.73012939  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040300ab.cha  998  151 15.13026052  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040500e.cha  176   37 21.02272727  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-030900b.cha  154   19 12.33766234  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040000ab.cha 1050  104  9.90476190  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040700ab.cha  295   33 11.18644068  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040000cd.cha  936   36  3.84615385  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040300e.cha  182   14  7.69230769  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-030800cd.cha  457   35  7.65864333  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-031000ab.cha 1128   57  5.05319149  9.3060662
