keychild register speakers largetotalperchild sumperSpeakerChild average.1 average.2 session total nb_utt percentage percentageperSpeakerRegisterChild
Anae Investigator mother  257 6550  2.67  2.23 Anae/284.cha 1225  87  7.10204082  2548.6381
Anae Investigator mother  257 6550  2.67  2.23 Anae/21122.cha  886  43  4.85327314  2548.6381
Anae Investigator mother  257 6550  2.67  2.23 Anae/2428.cha 1266  35  2.76461295  2548.6381
Anae Investigator mother  257 6550  2.67  2.23 Anae/2123.cha 1051  30  2.85442436  2548.6381
Anae Investigator mother  257 6550  2.67  2.23 Anae/317.cha 1062  24  2.25988701  2548.6381
Anae Investigator mother  257 6550  2.67  2.23 Anae/215.cha  803   2  0.24906600  2548.6381
Anae Investigator mother  257 6550  2.67  2.23 Anae/2216.cha  886  25  2.82167043  2548.6381
Anae Investigator mother  257 6550  2.67  2.23 Anae/2626.cha  958  10  1.04384134  2548.6381
Anae Investigator mother  257 6550  2.67  2.23 Anae/2529.cha  841   1  0.11890606  2548.6381
Anae OCDS adult   16   68  0.36  0.23 Anae/2428.cha 1266   5  0.39494471   425.0000
Anae OCDS adult   16   68  0.36  0.23 Anae/2123.cha 1051   3  0.28544244   425.0000
Anae OCDS adult   16   68  0.36  0.23 Anae/2626.cha  958   1  0.10438413   425.0000
Anae OCDS adult   16   68  0.36  0.23 Anae/317.cha 1062   7  0.65913371   425.0000
Anae OCDS child   34 1061  0.55  0.40 Anae/2123.cha 1051   3  0.28544244  3120.5882
Anae OCDS child   34 1061  0.55  0.40 Anae/317.cha 1062  12  1.12994350  3120.5882
Anae OCDS child   34 1061  0.55  0.40 Anae/215.cha  803   3  0.37359900  3120.5882
Anae OCDS child   34 1061  0.55  0.40 Anae/2428.cha 1266   6  0.47393365  3120.5882
Anae OCDS child   34 1061  0.55  0.40 Anae/284.cha 1225   1  0.08163265  3120.5882
Anae OCDS child   34 1061  0.55  0.40 Anae/2626.cha  958   9  0.93945720  3120.5882
Anae OCDS investigator  178 2075  2.32  2.09 Anae/284.cha 1225  38  3.10204082  1165.7303
Anae OCDS investigator  178 2075  2.32  2.09 Anae/2626.cha  958  21  2.19206681  1165.7303
Anae OCDS investigator  178 2075  2.32  2.09 Anae/2428.cha 1266  37  2.92259084  1165.7303
Anae OCDS investigator  178 2075  2.32  2.09 Anae/2123.cha 1051   3  0.28544244  1165.7303
Anae OCDS investigator  178 2075  2.32  2.09 Anae/317.cha 1062  67  6.30885122  1165.7303
Anae OCDS investigator  178 2075  2.32  2.09 Anae/215.cha  803   8  0.99626401  1165.7303
Anae OCDS investigator  178 2075  2.32  2.09 Anae/21122.cha  886   4  0.45146727  1165.7303
Anae OCDS mother  405 6550  5.39  2.79 Anae/317.cha 1062  89  8.38041431  1617.2840
Anae OCDS mother  405 6550  5.39  2.79 Anae/284.cha 1225  99  8.08163265  1617.2840
Anae OCDS mother  405 6550  5.39  2.79 Anae/2626.cha  958  51  5.32359081  1617.2840
Anae OCDS mother  405 6550  5.39  2.79 Anae/215.cha  803  46  5.72851806  1617.2840
Anae OCDS mother  405 6550  5.39  2.79 Anae/2123.cha 1051  22  2.09324453  1617.2840
Anae OCDS mother  405 6550  5.39  2.79 Anae/21122.cha  886  11  1.24153499  1617.2840
Anae OCDS mother  405 6550  5.39  2.79 Anae/2428.cha 1266  87  6.87203791  1617.2840
Anae unclassified adult   10   68  0.47  0.26 Anae/2123.cha 1051   3  0.28544244   680.0000
Anae unclassified adult   10   68  0.47  0.26 Anae/317.cha 1062   7  0.65913371   680.0000
Anae unclassified child    5 1061  0.23  0.21 Anae/284.cha 1225   1  0.08163265 21220.0000
Anae unclassified child    5 1061  0.23  0.21 Anae/317.cha 1062   4  0.37664783 21220.0000
Anae unclassified investigator   26 2075  0.33  0.20 Anae/284.cha 1225   1  0.08163265  7980.7692
Anae unclassified investigator   26 2075  0.33  0.20 Anae/21122.cha  886   4  0.45146727  7980.7692
Anae unclassified investigator   26 2075  0.33  0.20 Anae/2428.cha 1266   3  0.23696682  7980.7692
Anae unclassified investigator   26 2075  0.33  0.20 Anae/215.cha  803   1  0.12453300  7980.7692
Anae unclassified investigator   26 2075  0.33  0.20 Anae/2626.cha  958   6  0.62630480  7980.7692
Anae unclassified investigator   26 2075  0.33  0.20 Anae/2216.cha  886   5  0.56433409  7980.7692
Anae unclassified investigator   26 2075  0.33  0.20 Anae/317.cha 1062   4  0.37664783  7980.7692
Anae unclassified investigator   26 2075  0.33  0.20 Anae/2123.cha 1051   2  0.19029496  7980.7692
Anae unclassified mother   67 6550  1.13  1.37 Anae/21122.cha  886   2  0.22573363  9776.1194
Anae unclassified mother   67 6550  1.13  1.37 Anae/2216.cha  886   9  1.01580135  9776.1194
Anae unclassified mother   67 6550  1.13  1.37 Anae/215.cha  803   4  0.49813200  9776.1194
Anae unclassified mother   67 6550  1.13  1.37 Anae/2123.cha 1051   4  0.38058991  9776.1194
Anae unclassified mother   67 6550  1.13  1.37 Anae/2626.cha  958   2  0.20876827  9776.1194
Anae unclassified mother   67 6550  1.13  1.37 Anae/2923.cha  796  12  1.50753769  9776.1194
Anae unclassified mother   67 6550  1.13  1.37 Anae/2529.cha  841  34  4.04280618  9776.1194
Anais ADS adult   17 1984  0.79  0.87 Anais/2621a.cha  482  10  2.07468880 11670.5882
Anais ADS adult   17 1984  0.79  0.87 Anais/239a.cha  511   1  0.19569472 11670.5882
Anais ADS adult   17 1984  0.79  0.87 Anais/2511a.cha  665   2  0.30075188 11670.5882
Anais ADS adult   17 1984  0.79  0.87 Anais/242b.cha  667   4  0.59970015 11670.5882
Anais ADS child  167  276  7.88  5.46 Anais/239a.cha  511   2  0.39138943   165.2695
Anais ADS child  167  276  7.88  5.46 Anais/28a.cha  778  62  7.96915167   165.2695
Anais ADS child  167  276  7.88  5.46 Anais/247b.cha  368  49 13.31521739   165.2695
Anais ADS child  167  276  7.88  5.46 Anais/247a.cha  548  54  9.85401460   165.2695
Anais ADS investigator   45  108  1.16  1.92 Anais/247a.cha  548   1  0.18248175   240.0000
Anais ADS investigator   45  108  1.16  1.92 Anais/296b.cha  511   2  0.39138943   240.0000
Anais ADS investigator   45  108  1.16  1.92 Anais/239a.cha  511  28  5.47945205   240.0000
Anais ADS investigator   45  108  1.16  1.92 Anais/2525a.cha  547   4  0.73126143   240.0000
Anais ADS investigator   45  108  1.16  1.92 Anais/28a.cha  778   1  0.12853470   240.0000
Anais ADS investigator   45  108  1.16  1.92 Anais/242a.cha  796   6  0.75376884   240.0000
Anais ADS investigator   45  108  1.16  1.92 Anais/2523a.cha  707   3  0.42432815   240.0000
Anais ADS mother   29 4849  0.93  1.38 Anais/2511a.cha  665   2  0.30075188 16720.6897
Anais ADS mother   29 4849  0.93  1.38 Anais/247a.cha  548   2  0.36496350 16720.6897
Anais ADS mother   29 4849  0.93  1.38 Anais/239a.cha  511   3  0.58708415 16720.6897
Anais ADS mother   29 4849  0.93  1.38 Anais/28a.cha  778   3  0.38560411 16720.6897
Anais ADS mother   29 4849  0.93  1.38 Anais/2525a.cha  547   1  0.18281536 16720.6897
Anais ADS mother   29 4849  0.93  1.38 Anais/2621a.cha  482  18  3.73443983 16720.6897
Anais CDS adult 1924 1984 58.87 51.92 Anais/2621a.cha  482  17  3.52697095   103.1185
Anais CDS adult 1924 1984 58.87 51.92 Anais/239a.cha  511   3  0.58708415   103.1185
Anais CDS adult 1924 1984 58.87 51.92 Anais/242b.cha  667 662 99.25037481   103.1185
Anais CDS adult 1924 1984 58.87 51.92 Anais/296b.cha  511 499 97.65166341   103.1185
Anais CDS adult 1924 1984 58.87 51.92 Anais/242a.cha  796 743 93.34170854   103.1185
Anais CDS child  106  276  6.22  2.38 Anais/247a.cha  548  19  3.46715328   260.3774
Anais CDS child  106  276  6.22  2.38 Anais/28a.cha  778  59  7.58354756   260.3774
Anais CDS child  106  276  6.22  2.38 Anais/247b.cha  368  28  7.60869565   260.3774
Anais CDS investigator   59  108  0.91  0.68 Anais/2621a.cha  482   2  0.41493776   183.0508
Anais CDS investigator   59  108  0.91  0.68 Anais/247b.cha  368   1  0.27173913   183.0508
Anais CDS investigator   59  108  0.91  0.68 Anais/296b.cha  511   1  0.19569472   183.0508
Anais CDS investigator   59  108  0.91  0.68 Anais/2511b.cha  652  13  1.99386503   183.0508
Anais CDS investigator   59  108  0.91  0.68 Anais/247a.cha  548   7  1.27737226   183.0508
Anais CDS investigator   59  108  0.91  0.68 Anais/28a.cha  778   2  0.25706941   183.0508
Anais CDS investigator   59  108  0.91  0.68 Anais/2511a.cha  665   4  0.60150376   183.0508
Anais CDS investigator   59  108  0.91  0.68 Anais/239a.cha  511   4  0.78277886   183.0508
Anais CDS investigator   59  108  0.91  0.68 Anais/2523a.cha  707  12  1.69731259   183.0508
Anais CDS investigator   59  108  0.91  0.68 Anais/242a.cha  796  13  1.63316583   183.0508
