targetchild,speaker,addressee,session,numberoflines,numberofwords,mlu,mattr,numberofuttsinglewords,numberofhapaxes,percquest,ratioturn
Neuoe,mother,OCDS,Neuoe-040300e.cha,40,112,2.800,0.907843137255,5,61,.400,.487
Neuoe,mother,OCDS,Neuoe-040300f.cha,47,176,3.744,0.957228915663,8,88,.212,.391
Neuoe,mother,OCDS,Neuoe-040500ab.cha,52,195,3.750,0.934054054054,10,102,.250,.468
Neuoe,mother,OCDS,Neuoe-040500cd.cha,33,97,2.939,0.952873563218,7,60,.515,.656
Neuoe,mother,OCDS,Neuoe-040500e.cha,,,,,,,,
Neuoe,mother,OCDS,Neuoe-040700ab.cha,47,205,4.361,0.949743589744,1,87,.276,.369
Neuoe,mother,OCDS,Neuoe-040700cd.cha,31,131,4.225,0.935537190083,1,68,.354,.300
Neuoe,mother,OCDS,Neuoe-040700e.cha,26,108,4.153,0.890816326531,3,43,.230,.346
Hlobohang,mother,ADS,Hlobohang-020100ab.cha,,,,,,,,1.000
Hlobohang,mother,ADS,Hlobohang-020100cd.cha,,,,,,,,1.000
Hlobohang,mother,ADS,Hlobohang-020100ef.cha,6,14,2.333,1.0,2,14,.333,.400
Hlobohang,mother,ADS,Hlobohang-020200ab.cha,,,,,,,,.500
Hlobohang,mother,ADS,Hlobohang-020200cd.cha,,,,,,,,
Hlobohang,mother,ADS,Hlobohang-020400ab.cha,,,,,,,,
Hlobohang,mother,ADS,Hlobohang-020400cd.cha,3,29,9.666,0.957894736842,0,18,.333,.333
Hlobohang,mother,ADS,Hlobohang-020500ab.cha,,,,,,,,0
Hlobohang,mother,ADS,Hlobohang-020500cd.cha,,,,,,,,1.000
Hlobohang,mother,ADS,Hlobohang-021100ab.cha,,,,,,,,0
Hlobohang,mother,ADS,Hlobohang-021100cd.cha,,,,,,,,1.000
Hlobohang,mother,ADS,Hlobohang-020600ab.cha,,,,,,,,0
Hlobohang,mother,ADS,Hlobohang-020600cd.cha,,,,,,,,
Hlobohang,mother,ADS,Hlobohang-020700ab.cha,,,,,,,,0
Hlobohang,mother,ADS,Hlobohang-020700cd.cha,,,,,,,,
Hlobohang,mother,ADS,Hlobohang-020800ab.cha,,,,,,,,
Hlobohang,mother,ADS,Hlobohang-020800cd.cha,,,,,,,,
Hlobohang,mother,ADS,Hlobohang-020800ef.cha,,,,,,,,
Hlobohang,mother,ADS,Hlobohang-020900ab.cha,,,,,,,,
Hlobohang,mother,ADS,Hlobohang-020900cd.cha,,,,,,,,
Hlobohang,mother,ADS,Hlobohang-020900e.cha,,,,,,,,
Hlobohang,mother,ADS,Hlobohang-030000ab.cha,,,,,,,,
Hlobohang,mother,ADS,Hlobohang-030000cd.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-020100ab.cha,22,85,3.863,0.961333333333,1,52,.181,.285
Litlhare,mother,ADS,Litlhare-020100cd.cha,,,,,,,,0
Litlhare,mother,ADS,Litlhare-020100ef.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-020200ab.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-020200cd.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-020400ab.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-020400cd.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-020500ab.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-020500cd.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-020500ef.cha,,,,,,,,0
Litlhare,mother,ADS,Litlhare-030000ab.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-030000cd.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-020600ab.cha,,,,,,,,.750
Litlhare,mother,ADS,Litlhare-020600cd.cha,,,,,,,,.500
