"register" "speakers" "keychild" "session" "nb_utt"
"unclassified" "child" "Neuoe" "Neuoe-040300ab.cha" 2
"ADS" "mother" "Neuoe" "Neuoe-040300ab.cha" 1
"CDS" "mother" "Neuoe" "Neuoe-040300ab.cha" 46
"OCDS" "mother" "Neuoe" "Neuoe-040300ab.cha" 125
"CDS" "adult" "Neuoe" "Neuoe-040300cd.cha" 111
"OCDS" "adult" "Neuoe" "Neuoe-040300cd.cha" 156
"ADS" "child" "Neuoe" "Neuoe-040300cd.cha" 61
"CDS" "child" "Neuoe" "Neuoe-040300cd.cha" 126
"OCDS" "child" "Neuoe" "Neuoe-040300cd.cha" 93
"ADS" "child" "Neuoe" "Neuoe-040300e.cha" 30
"CDS" "child" "Neuoe" "Neuoe-040300e.cha" 16
"OCDS" "child" "Neuoe" "Neuoe-040300e.cha" 9
"CDS" "mother" "Neuoe" "Neuoe-040300e.cha" 60
"OCDS" "mother" "Neuoe" "Neuoe-040300e.cha" 40
"OCDS" "adult" "Neuoe" "Neuoe-040300f.cha" 1
"ADS" "child" "Neuoe" "Neuoe-040300f.cha" 45
"CDS" "child" "Neuoe" "Neuoe-040300f.cha" 19
"OCDS" "child" "Neuoe" "Neuoe-040300f.cha" 18
"ADS" "mother" "Neuoe" "Neuoe-040300f.cha" 2
"CDS" "mother" "Neuoe" "Neuoe-040300f.cha" 15
"OCDS" "mother" "Neuoe" "Neuoe-040300f.cha" 47
"CDS" "adult" "Neuoe" "Neuoe-040500ab.cha" 4
"OCDS" "adult" "Neuoe" "Neuoe-040500ab.cha" 6
"ADS" "child" "Neuoe" "Neuoe-040500ab.cha" 41
"CDS" "child" "Neuoe" "Neuoe-040500ab.cha" 185
"OCDS" "child" "Neuoe" "Neuoe-040500ab.cha" 44
"ADS" "mother" "Neuoe" "Neuoe-040500ab.cha" 2
"CDS" "mother" "Neuoe" "Neuoe-040500ab.cha" 28
"OCDS" "mother" "Neuoe" "Neuoe-040500ab.cha" 52
"CDS" "adult" "Neuoe" "Neuoe-040500cd.cha" 18
"OCDS" "adult" "Neuoe" "Neuoe-040500cd.cha" 20
"ADS" "child" "Neuoe" "Neuoe-040500cd.cha" 77
"CDS" "child" "Neuoe" "Neuoe-040500cd.cha" 88
"OCDS" "child" "Neuoe" "Neuoe-040500cd.cha" 234
"unclassified" "child" "Neuoe" "Neuoe-040500cd.cha" 9
"CDS" "mother" "Neuoe" "Neuoe-040500cd.cha" 33
"OCDS" "mother" "Neuoe" "Neuoe-040500cd.cha" 33
"OCDS" "adult" "Neuoe" "Neuoe-040500e.cha" 4
"ADS" "child" "Neuoe" "Neuoe-040500e.cha" 7
"CDS" "child" "Neuoe" "Neuoe-040500e.cha" 38
"OCDS" "child" "Neuoe" "Neuoe-040500e.cha" 44
"CDS" "mother" "Neuoe" "Neuoe-040500e.cha" 3
"CDS" "adult" "Neuoe" "Neuoe-040700ab.cha" 10
"OCDS" "adult" "Neuoe" "Neuoe-040700ab.cha" 2
"ADS" "child" "Neuoe" "Neuoe-040700ab.cha" 35
"CDS" "child" "Neuoe" "Neuoe-040700ab.cha" 35
"OCDS" "child" "Neuoe" "Neuoe-040700ab.cha" 49
"CDS" "mother" "Neuoe" "Neuoe-040700ab.cha" 30
"OCDS" "mother" "Neuoe" "Neuoe-040700ab.cha" 47
"OCDS" "adult" "Neuoe" "Neuoe-040700cd.cha" 1
"ADS" "child" "Neuoe" "Neuoe-040700cd.cha" 15
"CDS" "child" "Neuoe" "Neuoe-040700cd.cha" 42
"OCDS" "child" "Neuoe" "Neuoe-040700cd.cha" 96
"CDS" "mother" "Neuoe" "Neuoe-040700cd.cha" 9
"OCDS" "mother" "Neuoe" "Neuoe-040700cd.cha" 31
"OCDS" "adult" "Neuoe" "Neuoe-040700e.cha" 8
"ADS" "child" "Neuoe" "Neuoe-040700e.cha" 11
"CDS" "child" "Neuoe" "Neuoe-040700e.cha" 27
"OCDS" "child" "Neuoe" "Neuoe-040700e.cha" 36
"CDS" "mother" "Neuoe" "Neuoe-040700e.cha" 12
"OCDS" "mother" "Neuoe" "Neuoe-040700e.cha" 26
