keychild register speakers largetotalperchild sumperSpeakerChild average.1 average.2 session total nb_utt percentage percentageperSpeakerRegisterChild
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-020400ab.cha 1060 139 13.11320755    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-030000cd.cha  717  39  5.43933054    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-020200ab.cha  692  28  4.04624277    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-030000ab.cha  487  49 10.06160164    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-020100ab.cha 1047  99  9.45558739    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-030200ab.cha  909  69  7.59075908    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-020800ab.cha  559 101 18.06797853    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-020900ab.cha  858 200 23.31002331    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-021000cd.cha  504 128 25.39682540    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-020100ef.cha  850  67  7.88235294    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-020500ab.cha  505   4  0.79207921    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-020100cd.cha  819  77  9.40170940    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-020800cd.cha  580 206 35.51724138    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-030200cd.cha  863  41  4.75086906    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-020500cd.cha  562  42  7.47330961    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-020600ab.cha  652   7  1.07361963    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-020600cd.cha  606  13  2.14521452    107.7943
Litlhare CDS investigator 2489 2683 15.58 19.08 Litlhare-020500ef.cha  359  47 13.09192201    107.7943
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-030000ab.cha  487 250 51.33470226    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020500cd.cha  562  31  5.51601423    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020500ef.cha  359 254 70.75208914    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020600ab.cha  652 610 93.55828221    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020100ef.cha  850 152 17.88235294    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-030200cd.cha  863 314 36.38470452    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020400ab.cha 1060 451 42.54716981    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020100cd.cha  819 541 66.05616606    108.6291
