keychild register speakers largetotalperchildreg.x largetotalperchildreg.y sumperSpeakerChild average.1 average.2 session total.x largetotalperchildkey total.y nb_utt percentage percentageperSpeakerRegisterChild
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020900ab.cha 205 11221 205  51 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020200cd.cha 857 11221 857 315 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020100ab.cha 428 11221 428 184 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020100ef.cha 461 11221 461  87 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020500ab.cha 627 11221 627  53 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020100cd.cha 569 11221 569 323 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020900cd.cha 359 11221 359 109 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020600cd.cha 393 11221 393  47 NA 37.082256483
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020100cd.cha 569 11221 569 148 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020600cd.cha 393 11221 393 257 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020900ab.cha 205 11221 205 152 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020200ab.cha 998 11221 998 269 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-030000ab.cha 277 11221 277  25 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020400cd.cha 738 11221 738 239 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020500cd.cha 970 11221 970 146 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020700cd.cha 632 11221 632 196 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020700ab.cha 366 11221 366 184 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020800ef.cha 320 11221 320   3 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020900e.cha  69 11221  69  55 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020900cd.cha 359 11221 359 206 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-030000cd.cha 286 11221 286 104 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020600ab.cha 444 11221 444 172 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020400ab.cha 741 11221 741 492 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-021100ab.cha 232 11221 232 124 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020100ab.cha 428 11221 428  28 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020800cd.cha 371 11221 371  71 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-021100cd.cha 550 11221 550 251 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020200cd.cha 857 11221 857 449 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020500ab.cha 627 11221 627 413 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020800ab.cha 328 11221 328 289 NA 39.007218608
Hlobohang CDS child 4377 4377 4979 NA NA Hlobohang-020100ef.cha 461 11221 461 104 NA 39.007218608
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020600ab.cha 444 11221 444 166 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-021100ab.cha 232 11221 232  84 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020200ab.cha 998 11221 998  78 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-021100cd.cha 550 11221 550  92 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020400cd.cha 738 11221 738  12 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020500cd.cha 970 11221 970  58 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020400ab.cha 741 11221 741  49 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020100ef.cha 461 11221 461 125 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020100ab.cha 428 11221 428 175 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020700cd.cha 632 11221 632  42 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020700ab.cha 366 11221 366  29 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-030000ab.cha 277 11221 277  37 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020800cd.cha 371 11221 371 135 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020800ab.cha 328 11221 328   9 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020800ef.cha 320 11221 320 306 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-030000cd.cha 286 11221 286  19 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020600cd.cha 393 11221 393  36 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020500ab.cha 627 11221 627  37 NA 13.742090723
Hlobohang CDS mother 1542 1542 1681 NA NA Hlobohang-020100cd.cha 569 11221 569  53 NA 13.742090723
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020200cd.cha 857 11221 857  33 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020200ab.cha 998 11221 998  17 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020400cd.cha 738 11221 738  29 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020900cd.cha 359 11221 359  22 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-021100ab.cha 232 11221 232   3 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020100cd.cha 569 11221 569  20 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020600cd.cha 393 11221 393   3 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020600ab.cha 444 11221 444   5 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020100ef.cha 461 11221 461  50 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020100ab.cha 428 11221 428  15 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020700ab.cha 366 11221 366  24 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-030000cd.cha 286 11221 286   6 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020800cd.cha 371 11221 371   4 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020700cd.cha 632 11221 632  23 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020400ab.cha 741 11221 741  20 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020500cd.cha 970 11221 970  34 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-021100cd.cha 550 11221 550  20 NA  3.012209251
Hlobohang OCDS adult  338  338 4561 NA NA Hlobohang-020500ab.cha 627 11221 627  10 NA  3.012209251
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-020900e.cha  69 11221  69  14 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-020400cd.cha 738 11221 738  38 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-020500ab.cha 627 11221 627  88 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-020100ef.cha 461 11221 461  17 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-021100ab.cha 232 11221 232   9 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-020700ab.cha 366 11221 366   4 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-030000cd.cha 286 11221 286   4 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-020500cd.cha 970 11221 970   6 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-020200cd.cha 857 11221 857  18 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-020100ab.cha 428 11221 428   6 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-020100cd.cha 569 11221 569  13 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-020800ab.cha 328 11221 328  19 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-020600cd.cha 393 11221 393  19 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-020400ab.cha 741 11221 741  40 NA  2.771588985
Hlobohang OCDS child  311  311 4979 NA NA Hlobohang-020600ab.cha 444 11221 444  16 NA  2.771588985
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020500ab.cha 627 11221 627   7 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-030000ab.cha 277 11221 277   1 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020200ab.cha 998 11221 998   3 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-021100ab.cha 232 11221 232   6 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020800cd.cha 371 11221 371   2 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020400ab.cha 741 11221 741  10 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020100ef.cha 461 11221 461  20 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020500cd.cha 970 11221 970   4 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020700ab.cha 366 11221 366   3 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-021100cd.cha 550 11221 550   3 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020100cd.cha 569 11221 569   4 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020800ef.cha 320 11221 320   7 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020800ab.cha 328 11221 328   5 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020600cd.cha 393 11221 393  18 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020400cd.cha 738 11221 738   1 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020600ab.cha 444 11221 444  12 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020100ab.cha 428 11221 428   1 NA  1.024864094
Hlobohang OCDS mother  115  115 1681 NA NA Hlobohang-020700cd.cha 632 11221 632   8 NA  1.024864094
Hlobohang unclassified adult    1    1 4561 NA NA Hlobohang-020200ab.cha 998 11221 998   1 NA  0.008911862
Hlobohang unclassified child    2    2 4979 NA NA Hlobohang-020700ab.cha 366 11221 366   2 NA  0.017823723
Litlhare ADS adult   44   44  340 NA NA Litlhare-020500ef.cha 310 12669 310   1 NA  0.347304444
Litlhare ADS adult   44   44  340 NA NA Litlhare-020600ab.cha 645 12669 645   1 NA  0.347304444
Litlhare ADS adult   44   44  340 NA NA Litlhare-020100ab.cha 912 12669 912  37 NA  0.347304444
Litlhare ADS adult   44   44  340 NA NA Litlhare-030200ab.cha 788 12669 788   5 NA  0.347304444
Litlhare ADS child  323  323 6836 NA NA Litlhare-020200cd.cha 407 12669 407   2 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-020100ef.cha 767 12669 767  24 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-020200ab.cha 662 12669 662  20 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-020500ab.cha 500 12669 500   2 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-030000cd.cha 667 12669 667  22 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-020900ab.cha 618 12669 618  16 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-020500cd.cha 479 12669 479  17 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-020400cd.cha 505 12669 505  18 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-020800ab.cha 410 12669 410   2 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-020600cd.cha 589 12669 589  17 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-020400ab.cha 899 12669 899  50 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-020100ab.cha 912 12669 912  19 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-030200ab.cha 788 12669 788  69 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-030200cd.cha 804 12669 804  20 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-030000ab.cha 434 12669 434   7 NA  2.549530350
Litlhare ADS child  323  323 6836 NA NA Litlhare-020100cd.cha 732 12669 732  18 NA  2.549530350
Litlhare ADS mother   49   49 5493 NA NA Litlhare-020600cd.cha 589 12669 589   2 NA  0.386770858
Litlhare ADS mother   49   49 5493 NA NA Litlhare-020500ef.cha 310 12669 310   1 NA  0.386770858
Litlhare ADS mother   49   49 5493 NA NA Litlhare-020600ab.cha 645 12669 645   4 NA  0.386770858
Litlhare ADS mother   49   49 5493 NA NA Litlhare-020400cd.cha 505 12669 505   1 NA  0.386770858
Litlhare ADS mother   49   49 5493 NA NA Litlhare-030200cd.cha 804 12669 804   3 NA  0.386770858
Litlhare ADS mother   49   49 5493 NA NA Litlhare-020100cd.cha 732 12669 732   3 NA  0.386770858
Litlhare ADS mother   49   49 5493 NA NA Litlhare-020900ab.cha 618 12669 618   4 NA  0.386770858
Litlhare ADS mother   49   49 5493 NA NA Litlhare-030200ab.cha 788 12669 788   9 NA  0.386770858
Litlhare ADS mother   49   49 5493 NA NA Litlhare-020100ab.cha 912 12669 912  22 NA  0.386770858
Litlhare CDS adult  261  261  340 NA NA Litlhare-020600cd.cha 589 12669 589   1 NA  2.060146815
Litlhare CDS adult  261  261  340 NA NA Litlhare-020100ab.cha 912 12669 912  40 NA  2.060146815
Litlhare CDS adult  261  261  340 NA NA Litlhare-020400cd.cha 505 12669 505   4 NA  2.060146815
Litlhare CDS adult  261  261  340 NA NA Litlhare-020500ef.cha 310 12669 310  52 NA  2.060146815
Litlhare CDS adult  261  261  340 NA NA Litlhare-030000ab.cha 434 12669 434   6 NA  2.060146815
Litlhare CDS adult  261  261  340 NA NA Litlhare-020500ab.cha 500 12669 500  27 NA  2.060146815
Litlhare CDS adult  261  261  340 NA NA Litlhare-020600ab.cha 645 12669 645  27 NA  2.060146815
Litlhare CDS adult  261  261  340 NA NA Litlhare-020500cd.cha 479 12669 479  43 NA  2.060146815
Litlhare CDS adult  261  261  340 NA NA Litlhare-021000ab.cha 749 12669 749  11 NA  2.060146815
