utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
18786	MOT	mother	tu lui as mis son coussin?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18791	MOT	mother	la couverture du bébé?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18796	MOT	mother	xxx il va faire dodo				Anais/247b.cha	1	clara						Anais	mother	Keychild
18798	MOT	mother	chut				Anais/247b.cha	1	clara						Anais	mother	Keychild
18800	MOT	mother	il dort				Anais/247b.cha	1	clara						Anais	mother	Keychild
18802	MOT	mother	il dort ce bébé là?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18805	MOT	mother	non il dort plus				Anais/247b.cha	1	clara						Anais	mother	Keychild
18806	MOT	mother	ah dans le bain				Anais/247b.cha	1	clara						Anais	mother	Keychild
18808	MOT	mother	il fait dodo dans la baignoire?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18821	MOT	mother	qu'est ce que tu cherches Nounette?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18824	MOT	mother	ah il a soif ton bébé?			%com passage non transcrit de Chl 62175762786/Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
18844	MOT	mother	ça y est				Anais/247b.cha	1	clara						Anais	mother	Keychild
18845	MOT	mother	il dort ce bébé?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18847	MOT	mother	faut plus faire de bruit alors				Anais/247b.cha	1	clara						Anais	mother	Keychild
18859	MOT	mother	mais on met pas un chapeau pour dormir Ana de toute façon				Anais/247b.cha	1	clara						Anais	mother	Keychild
18860	MOT	mother	c'est pas important s'il a pas de chapeau				Anais/247b.cha	1	clara						Anais	mother	Keychild
18862	MOT	mother	ben non				Anais/247b.cha	1	clara						Anais	mother	Keychild
18865	MOT	mother	www j'ai rien compris Ana				Anais/247b.cha	1	clara						Anais	mother	Keychild
18868	MOT	mother	il a froid ton bébé?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18870	MOT	mother	il a beaucoup froid?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18873	MOT	mother	ah alors on lui met le chapeau				Anais/247b.cha	1	clara						Anais	mother	Keychild
18875	MOT	mother	tu as une écharpe aussi?			%act  Ana cherche un écharpe 75152755532/Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
18876	MOT	mother	tu veux une écharpe?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18878	MOT	mother	ah ben voilà				Anais/247b.cha	1	clara						Anais	mother	Keychild
18885	MOT	mother	attends				Anais/247b.cha	1	clara						Anais	mother	Keychild
18891	MOT	mother	alors qu'est ce qu'on fait avec ce bébé là				Anais/247b.cha	1	clara						Anais	mother	Keychild
18892	MOT	mother	on lui met son chapeau?				Anais/247b.cha	1	clara						Anais	mother	Keychild
