utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee	register
31233	MOT	mother	ça fait un peu de place				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31235	MOT	mother	non?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31236	MOT	mother	de toute façon faudra bien le ranger			%sit  Tim joue avec le petit garage et fait sonner une petite cloche/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31237	MOT	mother	tiens tu veux voir la petite voiture				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31238	MOT	mother	là regarde ce qu'on peut faire			%act  MOT lui montre comment se servir du garage/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31239	MOT	mother	tu les mets là			%act  elle place la petite voiture en haut du garage/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31240	MOT	mother	piouf@o			%act  elle appuie sur un bouton qui fait décoller la voiture/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31242	MOT	mother	hein vas y appuie			%act  elle a replacé la voiture en haut du garage/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31243	MOT	mother	hein appuie sur le			%sit  Tim fait décoller la voiture/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31244	MOT	mother	oui oh			%sit  MOT replace la voiture/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31245	MOT	mother	le petit drapeau on remet le drapeau				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31246	MOT	mother	tu appuies là				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31247	MOT	mother	regarde sur la sonnette				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31248	MOT	mother	regarde				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31249	MOT	mother	appuie sur la sonnette				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31250	MOT	mother	un grand coup			%sit  Tim appuie et la voiture part/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31251	MOT	mother	hop la				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31255	MOT	mother	oh la //				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31256	MOT	mother	xxx loin hein				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31258	MOT	mother	ça colle?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31259	MOT	mother	qu'estce qui colle?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31261	MOT	mother	eh oui tu vois si tu rangeais tu te ferais pas mal en t'appuyant sur les www écrous				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31262	MOT	mother	mhm?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31264	MOT	mother	qu'estce qu'il y a?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31266	MOT	mother	qu'estce que c'est ça?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31270	MOT	mother	c'est une vis et un www écrou				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31271	MOT	mother	la vis et l'écrou			%act  elle montre les objets correspondants/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31273	MOT	mother	ah oui quand www on met le genou dessus ça fait mal				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31274	MOT	mother	ça c'est sûr				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31276	MOT	mother	www				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31280	MOT	mother	oh oh oh oh oh oh oh oh c'est sur quoi que tu tapes là?			%sit  Tim continue de taper sur la planche avec son marteau en regardant la caméra/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31281	MOT	mother	ça fait trop de bruit ça Tim				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31282	MOT	mother	tu fais trop de bruit			%sit  Tim tape sur le rebord de la fenêtre 73164744918/Theotime/2111acha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31297	MOT	mother	ça pince?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31298	MOT	mother	oui ça pique pas oui				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31299	MOT	mother	ça pince plutôt				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31300	MOT	mother	qu'estce que c'est qui pique?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31302	MOT	mother	estce que les pissenlits ça pique?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31304	MOT	mother	non				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31305	MOT	mother	estce que le rosier ça pique?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31307	MOT	mother	ça pique pas le rosier?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31309	MOT	mother	bah				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31310	MOT	mother	estce que les www orties ça pique?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
